"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"COORDINADOR DE VENTA: MALDONADO, COLONIA, SAN JOSE, SORIANO, PAYSANDU","saint denise","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Empresa de Venta Directa en expansión, líder en productos de Cama, Mesa y Baño, busca Para los departamentos de SAN JOSE, COLONIA, SORIANO, MALDONADO, PAYS ...","maldonado","/anuncio/coordinador-de-venta-maldonado-colonia-san-jose-soriano-paysandu-n9ed5",2019-02-20 00:14:17
"ESPECIALISTA EN ENTRENAMIENTO","UPM Forestal Oriental","Supervisor / Encargado","Producción","Hace 4 días ","UPM Forestal Oriental selecciona profesional universitario para ocupar la posición de Especialista en Entrenamiento: Información Importante -          Rég ...","paysandu","/anuncio/especialista-en-entrenamiento-5bhbb",2019-02-20 00:14:17
"JEFE DE ADMINISTRACIÓN","SALINAS DEL ALMIRON RESORT TERMAL","Jefe","Administración - Secretariado","Hace 1 mes ","•	Analizar e interpretar los resultados financieros y presupuestos operacionales. •	Elaborar informes de Estado de situación Patrimonial y Estado de Result ...","paysandu","/anuncio/jefe-de-administracion-ags83",2019-02-20 00:14:17
"SOUS CHEF","SALINAS DEL ALMIRON RESORT TERMAL","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 6 días ","Responsabilidad, puntualidad y Pro-actividad Liderazgo Manejo de recursos humanos  Control de procesos internos Control de inventarios Diseño y elaboración ...","paysandu","/anuncio/sous-cheff-8nj4p",2019-02-20 00:14:17
"EJECUTIVO DE CUENTAS","ADVICE","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Será responsable por: El desarrollo de su cartera de clientes para maximizar las oportunidades de venta tanto con clientes actuales como nuevos para alcanz ...","paysandu","/anuncio/ejecutivo-de-cuentas-g3tme",2019-02-20 00:14:17
"CONFITERO.SANWICHERO","Panaderia Punto Cero","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Elaborar masas secas.Productos de hojaldre.Bizcochuelos tortas para cumpleaños.Ojitos polvorones sanwiches. Producir y hornear correctamente sus productos. ...","canelones","/anuncio/confitero-sanwichero-g43a4",2019-02-20 00:14:17
"ENCARGADA/O PARA SHOPPING","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Gestión integral de la tienda. Seleccionamos Encargadas para trabajar en el Shopping de Costa Urbana.   La posición tiene como principal responsabilidad el ...","canelones","/anuncio/encargada-o-para-shopping-b824j",2019-02-20 00:14:17
"CAJERO/A ADMINISTRATIVO","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","Tareas inherentes a cajero y tareas administrativas tales como ingresar facturas al sistema Memory. Con conocimientos contables, preferentemente Memory y q ...","canelones","/anuncio/cajero-a-administrativo-643sg",2019-02-20 00:14:17
"VENDEDOR CON VEHICULO ZONA LAS PIEDRAS","VENTA DE ALIMENTOS PARA MASCOTAS","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","SE NECESITA VENDEDOR QUE VIVA ZONA LAS PIEDRAS / LA PAZ...CON LIBRETA DE CONDUCIR , SE VALORA CARTERA DE CLIENTES EN ALMACENES , AUTOSERVICIOS Y GRANDES SU ...","canelones","/anuncio/vendedor-con-vehiculo-zona-las-piedras-bbpqh",2019-02-20 00:14:17
"VENDEDOR PARA COMERCIOS (VISITADOR)","Importante empresa rubro alimento mascotas","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","se buscan vendedores , para visitar comercios y desarrollar venta por mayor de productos para mascotas principal funcion desarrollo de venta por mayor , vi ...","canelones","/anuncio/vendedor-para-comercios-visitador-uurns",2019-02-20 00:14:17
"LIMPIADORA",NA,"Auxiliar","Servicios - Oficios","Hace 1 semana ","- Para familia,  entre 25 a 40 años Sueldo: $ 10.000 líquidos + aportes Martes a viernes de 09:00 a 13:00 horas 16 horas semanales. Zona Solymar Norte ...","canelones","/anuncio/limpiadora-pg3n3",2019-02-20 00:14:17
"BRUSHINISTA MANICURA ","Cecilia","Auxiliar","Producción","Hace 1 semana ","Se solicita personal como brushinista manicura y pedicura (excluyente) para los días jueves viérnes y sábados pago horas extras, ubicación lomas de solymar ...","canelones","/anuncio/brushinista-manicura-g6gb2",2019-02-20 00:14:17
"CARPINTERO","Grupo El Solar","Técnico / Especialista","Servicios - Oficios","Hace 2 semanas ","Carpintero con habilidades para buenas terminaciones, trabajos en placas, con buena predisposición, puntualidad, compañerismo y dispuesto para las funcione ...","canelones","/anuncio/carpintero-rvn9j",2019-02-20 00:14:17
"DIBUJANTE TECNICO","Grupo El Solar","Técnico / Especialista","Arte - Diseño - Comunicación","Hace 2 semanas ","Dibujante Técnico para Mobiliarios, con conocimiento de SketchUp, AutoCad, etc. Se busca una persona responsable comprometida con la empresa.","canelones","/anuncio/dibujante-tecnico-645td",2019-02-20 00:14:17
"PISTERO LAVADOR","Importante empresa","Auxiliar","Atención al cliente","Hace 2 semanas ","Nos orientamos a la búsqueda de personas responsables, pro-activas y con marcado perfil orientado al cliente, para estación de servicio ubicada en CIUDAD D ...","canelones","/anuncio/pistero-lavador-z3zya",2019-02-20 00:14:17
"CAJERO/A MINIMERCADO CIUDAD DE LA COSTA.","Estacion Lagomar","Auxiliar","Ventas - Comercial","Hace 2 semanas ","Nos orientamos a la búsqueda de personas responsables, confiables, proactivas y con marcado perfil orientado al cliente. Para cubrir puesto en la caja del ...","canelones","/anuncio/cajero-a-minimercado-ciudad-de-la-costa-mehmv",2019-02-20 00:14:17
"ACOMPAÑANTE","Gente Servicio de compañía","Auxiliar","Salud","Hace 2 semanas ","Asistir al paciente en todas sus necesidades básicas. Compañía de adulto mayor en sanatorio, con buenas referencias y experiencia acreditada. ACOMPAÑANTE  ...","canelones","/anuncio/acompanante-u6s9r",2019-02-20 00:14:17
"SERENO","EMPRESA SOBRE RUTA 101","Auxiliar","Seguridad - Vigilancia","Hace 3 semanas ","SERENO para 7 horas martes a viernes + 8 horas sábado,domingo y feriados. Imprescindible: Excelentes antecedentes y referencias. Certificado de Buena Condu ...","canelones","/anuncio/sereno-b33z5",2019-02-20 00:14:17
"SERENO","EMPRESA SOBRE RUTA 101","Auxiliar","Seguridad - Vigilancia","Hace 3 semanas ","SERENO para 7 horas lunes y martes y 8 horas sábado,domingo y feriados.  Imprescindible:  Excelentes antecedentes y referencias. Certificado de Buena Condu ...","canelones","/anuncio/sereno-6t8um",2019-02-20 00:14:17
"OPERATIVA COMERCIAL","Empresa Selecciona","Asistente","Administración - Secretariado","Hace 3 semanas ","Requisitos: - Tener mas de 25 años - Predisposicion al cambio - Actitud de servicio - Disponibilidad Horaria Se valorara:  - Idiomas - Proactivo Se Ofrece ...","canelones","/anuncio/operativa-comercial-4are9",2019-02-20 00:14:17
"PEON PARA DEPOSITO CARGA Y DESCARGA","EMPRESA SOBRE RUTA 101","Peon","Servicios - Oficios","Hace 3 semanas ","PEON PARA DEPOSITO CARGA Y DESCARGA.  LUNES A VIERNES. TRABAJO TEMPORAL. ENVIAR CV CON ANTECEDENTES Y  REFERENCIAS","canelones","/anuncio/peon-para-deposito-carga-y-descarga-rt8yz",2019-02-20 00:14:17
"DOCENTE ÁREA RECURSOS HUMANOS","Instituto Europa - Centro de Formación Profesional y Capacitación.","Analista","Marketing - Publicidad","Hace 1 mes ","Somos un instituto con sede en Salinas, Canelones. Llamado a interesados en presentar Currículum PARA DICTAR CLASES en cursos, talleres y capacitaciones en ...","canelones","/anuncio/aasasasa-njbz8",2019-02-20 00:14:17
"DOCENTE ÁREAS ADMINISTRACIÓN Y CONTABILIDAD.","Instituto Europa - Centro de Formación Profesional y Capacitación.","Profesional","Educación - Recreación - Deportes","Hace 1 mes ","Somos un Instituto con sede en Salinas, Canelones. Llamado a interesados en presentar Currículum para registro DOCENTE en las áreas: - Administración - Con ...","canelones","/anuncio/llamado-docente-en-varias-areas-5qab2",2019-02-20 00:14:17
"ENCARGADO","Empanadas Don Pedro","Supervisor / Encargado","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Supervición en general, menejo de personal, compras, conocimientos basicos de excel y world Seriedad puntualidad. compromiso con el trabajo, viva en zon a  ...","canelones","/anuncio/encargado-a3v89",2019-02-20 00:14:17
"VENDEDOR DE MOSTRADOR - ZONA SOLYMAR","AGLH Consultores","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Seleccionamos Vendedor de Mostrador para importante empresa de insumos eléctricos ubicada en la zona de Solymar, Canelones.  Orientamos la búsqueda a pers ...","canelones","/anuncio/vendedor-de-mostrador-zona-solymar-434jn",2019-02-20 00:14:17
"ASISTENTE CONTABLE","Montich Uruguay S.A.","Asistente","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Registros contables Trabajo con excel Mandar Mail Control horas para realizar recibos Responsable registro contable Responsable de horas control Responsabl ...","canelones","/anuncio/asistente-contable-29ydr",2019-02-20 00:14:17
"MEDIO OFICIAL MECÁNICO",NA,"Medio Oficial","Producción","Hace 1 mes ","Mecánica general de automóviles Realizar trabajos de mecánica indicados","canelones","/anuncio/medio-oficial-mecanico-ve3dd",2019-02-20 00:14:17
"CHOFER CATEGORÍA C ZAFRAL","Empresa de Transporte","Peon","Servicios - Oficios","Hace 1 mes ","Chofer categoría C o superior para reparto en el interior del país. Trabajo zafral. Excluyente viva en Ciudad de la Costa o Costa de Oro. Chofer categoría  ...","canelones","/anuncio/chofer-categoria-c-zafral-v7pqr",2019-02-20 00:14:17
"AUXILIAR ADMINISTRATIVO","Empresa de consumo masivo","Auxiliar","Administración - Secretariado","Hace 8 horas ","Tareas administrativas varias en ciudad de Canelones. Residencia en Canelones ciudad o zonas aledañas. Sexo: Masculino Edad: 18-35 años  Buena disposición ...","canelones","/anuncio/auxiliar-administrativo-8ea5t",2019-02-20 00:14:17
"OFICIAL FRESADOR","Imoler SA ","Oficial","Producción","Hace 5 días ","TRABAJOS EN TALLADORA DE ENGRANAJES CONOCIMIENTO TEÓRICO Y PRACTICO DE CÁLCULOS PARA TALLADO DE FRESA DE ENGRANAJES CÓNICOS, RECTOS Y CILÍNDRICOS, CON DIEN ...","canelones","/anuncio/oficial-fresador-yv9ay",2019-02-20 00:14:17
"AUXILIAR DE MANTENIMIENTO (PEON) Y OFICIAL DE MANTENIMIENTO","Grange Construcciones y Mantenimiento","Oficial","Construcción - Arquitectura","Hace 1 semana ","Responsabilides y funciones Inherentes al cargo de OFICIAL Y PEON. Pintura, sanitaria, electricidad, yeso, impermeabilizaciones, etc. Los CV completos se r ...","canelones","/anuncio/auxiliar-de-mantenimiento-peon-y-oficial-de-mantenimiento-7yqrz",2019-02-20 00:14:17
"CADETE CON MOTO PARA LAS PIEDRAS","Logistica21","Auxiliar","Cadetería - Cobranzas","Hace 2 semanas ","Debe tener moto en condiciones, puntualidad, buena presencia y compromiso. Se necesita cadete con moto para delivery en Las piedras, con experiencia y  que ...","canelones","/anuncio/cadete-con-moto-para-las-piedras-yp3b7",2019-02-20 00:14:17
"VIGILANTE O GUARDIA EN ZONA PINAMAR CON EXPERIENCIA COMPROBABLE","SUPERMERCADO IMPERIO DEL ESTE","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","VIGILANCIA DEL SALÓN CONTROL DE FUNCIONARIOS VIGILANTE  o Guardia  para supermercado viva próximo a la zona de Pinamar","canelones","/anuncio/vigilante-o-guardia-en-zona-pinamar-con-experiencia-comprobable-rrugm",2019-02-20 00:14:17
"CADETE CON MOTO PARA DELIVERY EN LAS PIEDRAS","Logistica21","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","Se necesita Delivery con moto para local de comidas en las piedras, trabajo estable y en caja. Debe tener moto en condiciones, buena presencia, responsabil ...","canelones","/anuncio/cadete-con-moto-para-delivery-en-las-piedras-6yesy",2019-02-20 00:14:17
"AUXILIAR ADMINISTRATIVO Y DE VENTAS","Importante empresa inmobiliaria","Auxiliar","Administración - Secretariado","Hace 1 mes ","Atención a clientes, gestiones ante oficinas publicas y privadas, realizacion de inventarios e inspecciones de fincas, pagos varios de clientes, mantenimie ...","canelones","/anuncio/auxiliar-administrativo-y-de-ventas-ptv56",2019-02-20 00:14:17
"PEON Y MEDIO OFICIAL","CONSULTORA","Peon","Producción","Hace 1 mes ","Área producción tareas de peón y medio oficial Puntualidad, Responsabilidad,","canelones","/anuncio/peon-y-medio-oficial-7n3pd",2019-02-20 00:14:17
"ADMINISTRATIVO","CONSULTORA","Auxiliar","Administración - Secretariado","Hace 1 mes ","Funciones en el área administrativa, recursos humanos y registraciones contables Buen trato con el personal, buena presencia,","canelones","/anuncio/administrativo-v734m",2019-02-20 00:14:17
"VENDEDOR TÉCNICO","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Promoción de la línea de productos químicos y materias primas que maneja la empresa, entre nuestros clientes. Asesoramiento técnico a nuestros clientes sob ...","canelones","/anuncio/vendedor-tecnico-6p2dr",2019-02-20 00:14:17
"ENCARGADO PUESTO DE FRUTAS Y VERDURAS CON EXPERIENCIA COMPROBABLE, ZONA PINAMAR",NA,"Auxiliar","Servicios - Oficios","Hace 1 mes ","ENCARGADO DEL PUESTO DE FRUTAS Y VERDURAS. EXPERIENCIA COMPROBABLE EN EL CARGO. SE ENCARGARÁ DE TODO LO RELACIONADO CON EL PUESTO EXCEPTUANDO LAS COMPRAS","canelones","/anuncio/encargado-puesto-de-frutas-y-verduras-con-experiencia-comprobable-zona-pinamar-eyyu9",2019-02-20 00:14:17
"CARNICERO CORTADOR CON EXPERIENCIA, ZONA PINAMAR, CANELONES",NA,"Auxiliar","Servicios - Oficios","Hace 1 mes ","CORTAR DESARMAR LIMPIEZA ATENCIÓN AL PÚBLICO SELECCIONAMOS CARNICERO CORTADOR CON EXPERIENCIA Y REFERENCIAS COMPROBABLES","canelones","/anuncio/carnicero-cortador-con-experiencia-zona-pinamar-canelones-v6y3a",2019-02-20 00:14:17
"CAJERA PARA SUPERMERCADO, EN ZONA PINAMAR (CANELONES), CON EXPERIENCIA COMPROBABLE",NA,"Auxiliar","Ventas - Comercial","Hace 1 mes ","- CAJERA - CON EXPERIENCIA COMPROBABLE EN CAJAS - DISPONIBILIDAD HORARIA SE VALORARÁ EXPERIENCIA EN SISTEMA SCANNTECH","canelones","/anuncio/cajera-para-supermercado-en-zona-pinamar-canelones-con-experiencia-comprobable-ett3d",2019-02-20 00:14:17
"INSTALADOR DE ALARMAS RESIDENCIALES, COMERCIALES Y CCTV","Importante empresa","Oficial","Servicios - Oficios","Hace 1 mes ","Instalación y Mantenimiento de Sistemas de Alarmas y Cámaras de Seguridad. Nuestra empresa le brinda el servicio de instalación a reconocidas empresas en e ...","canelones","/anuncio/instalador-de-alarmas-residenciales-comerciales-y-cctv-b76hm",2019-02-20 00:14:17
"COCINERO","El Descubrimiento Resort Club","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Nuestro restaurante sirve desayuno, almuerzo y cena buffet a los huéspedes del complejo así como también a los comensales que nos visitan por el día. El eq ...","canelones","/anuncio/cocinero-bs5v9",2019-02-20 00:14:17
"AYUDANTE DE COCINA, PASTELERO","El Descubrimiento Resort Club","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Elaboración de buffet, mesa de ensaladas. Trabajar en equipo y a las órdenes de lo que indica Jefe/a de cocina. Indispensable vivir en la zona.","canelones","/anuncio/ayudante-de-cocina-pastelero-s6sq9",2019-02-20 00:14:17
"LIDER DE EQUIPO","Miguel Angel asiciados","Supervisor / Encargado","Tecnologías de la información","Hace 1 día ","Ser líder de equipo formando su red de consumidores Ser líder de su equipo de trabajo para crear generaciones libre de jefes","canelones","/anuncio/lider-de-equipo-77nss",2019-02-20 00:14:17
"VIGILANTE","Importante empresa","Auxiliar","Seguridad - Vigilancia","Hace 1 día ","Controlar el ingreso de personas a la empresa y avisar al sector correspondiente Control de ingresos y retiros de toda persona a la empresa","canelones","/anuncio/vigilante-qa6rs",2019-02-20 00:14:17
"COCINERO/AYUDANTE DE COCINA/ PEON GENERAL DE COCINA /LIMPIADOR","Importante empresa Ciudad de la Costa","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 4 días ","Asistir el proceso de elaboración de alimentos y la limpieza de equipos, utensilios e instalaciones. Se requiere experiencia previa, referencias comprobabl ...","canelones","/anuncio/ayudante-de-cocina-peon-general-de-cocina-limpiador-3vyg6",2019-02-20 00:14:17
"PROFESORA O PROFESOR DE INGLES","INSTITUTO EN CIUDAD DE LA COSTA","Profesional","Educación - Recreación - Deportes","Hace 6 días ","a conversar en una entrevista a conversar en una entrevista","canelones","/anuncio/profesora-o-profesor-de-ingles-83hnz",2019-02-20 00:14:17
"AYUDANTE DE CORTADOR","Carnicería zona centro","Auxiliar","Servicios - Oficios","Hace 1 mes ","Ayudante de cortador, atención al publico. carnicería zona centro, Montevideo Ayudante de carnicero - atención al publico ","montevideo","/anuncio/ayudante-de-cortador-pmsnh",2019-02-20 00:14:17
"COCINERO / COCINERA",NA,"Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","SE NECESITA COCINERO / A PLANCHERO  CON GRAN EXPERIENCIA PARA RESTAURANTE EN EL CENTRO. SE ORIENTA A UNA PERSONA CON EXPERIENCIA Y CON GANAS DE TRABAJAR.   ...","montevideo","/anuncio/cocinero-cocinera-hmgm6",2019-02-20 00:14:17
"ANALISTA CONTABLE","Importante empresa","Analista","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Requisitos: • Contador público  • Se valorara conocimientos en sistema GIA • Experiencia: en el área Contabilidad  Funciones: o Conciliación y análisis de ...","montevideo","/anuncio/analista-contable-r4eas",2019-02-20 00:14:17
"PLANCHERO","VICTOR","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","PLANCHERO MINUTERO CON EXPERIENCIA RESPONSABLE","montevideo","/anuncio/planchero-pybv4",2019-02-20 00:14:17
"CHOFER DE TAXI","SIN NOMBRE","Peon","Servicios - Oficios","Hace 1 mes ","CHOFER DE TAXI DE MONTEVIDEO. TURNO EFECTIVO. TENEMOS HORARIO DIURNO DE 3 A 15 HS Y HORARIO NOCTURNO DE 15 A 3 HS. RELEVO DE DOMICILIO A DOMICILIO DE LOS C ...","montevideo","/anuncio/chofer-de-taxi-5e7dp",2019-02-20 00:14:17
"MAQUINISTA PARA PRENDAS DE CUERO LANAR","Importante empresa","Oficial","Producción","Hace 1 mes ","Maquinista de prendas de cuero lanar con lana (con experiencia), solicita empresa exportadora.   Confeccionar las prendas cortadas y prepararas, provistas  ...","montevideo","/anuncio/maquinista-para-prendas-de-cuero-lanar-mt2g8",2019-02-20 00:14:17
"AYUDANTE DE COCINA","Ramona","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Se busca ayudante de cocina con experiencia, responsable, ordenado y limpio para formar equipo de trabajo. Mantener su área de trabajo limpia, producir, ay ...","montevideo","/anuncio/ayudante-de-cocina-jq6rq",2019-02-20 00:14:17
"CAJERA","Importante empresa","Auxiliar","Ventas - Comercial","Hace 1 mes ","Cajera para restaurante con experiencia en FrontRest (ICG) Responsable de la caja y ayudante de barra.","montevideo","/anuncio/cajera-m2z9g",2019-02-20 00:14:17
"VENDEDOR/A PARA MONTEVIDEO","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","De Lunes a Viernes de 9 a 18 hs. Buena remuneración.","montevideo","/anuncio/vendedor-a-para-montevideo-a9bqs",2019-02-20 00:14:17
"JEFE COMERCIAL","CONVIXION","Profesional","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Si tienes experiencia en gestión de clientes, elaboración de propuestas e informes, manejo de sistemas de gestión, facturación, liquidación; eres planifica ...","montevideo","/anuncio/jefe-comercial-693h6",2019-02-20 00:14:17
"RESPONSABLE DE PLANIFICACIÓN Y CONTROL OPERATIVO","CONVIXION","Profesional","Producción","Hace 1 mes ","Estamos buscando un destacado profesional para liderar el diseño, la implementación y el control de las operaciones de clientes críticos desde una perspect ...","montevideo","/anuncio/responsable-de-planificacion-y-control-operativo-yqpgj",2019-02-20 00:14:17
"LOGÍSTICA, ENTREGAS Y PUBLICO","Importante empresa zona Aguada","Peon","Logística - Distribución","Hace 1 mes ","Tareas de logística, atención al publico, se valoraran conocimientos de electricidad automotriz. Puntualidad, buena presencia, trabajo en equipo, buen trat ...","montevideo","/anuncio/logistica-entregas-y-publico-9g949",2019-02-20 00:14:17
"CADETE CON MOTO PROPIA","Despachante de Aduanas","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","Cadete con moto propia para Despachante de Aduanas. Preferentemente con buen conocimiento de calles. Indispensable puntualidad, organización y responsabili ...","montevideo","/anuncio/cadete-con-moto-propia-zz9q6",2019-02-20 00:14:17
"AUXILIAR DE COMERCIO EXTERIOR Y ATENCIÓN AL CLIENTE","MAZARS","Auxiliar","Administración - Secretariado","Hace 1 mes ","Seleccionamos un Auxiliar de Comercio Exterior y Atención al Cliente para reconocida empresa agente de carga.  La persona seleccionada se encargará de asi ...","montevideo","/anuncio/auxiliar-de-comercio-exterior-y-atencion-al-cliente-7b5t4",2019-02-20 00:14:17
"ACOMPAÑANTE EN DOMICILIO PARA SEÑORA","Particular","Auxiliar","Salud","Hace 1 mes ","Acompañante en domicilio para señora mayor que no camina, para tareas de higiene personal, limpieza sencilla, ayuda en movimientos, etc. Puntualidad. Se bu ...","montevideo","/anuncio/acompanante-en-domicilio-para-senora-jbrtr",2019-02-20 00:14:17
"MATRIMONIO O ENCARGADO Y PEÓN","Establecimiento rural en Maldonado","Supervisor / Encargado","Producción","Hace 1 mes ","Encargado, casero, manejo de ganado bovino, equino y ovino. Tractor. Tareas administrativas y mantenimiento. Se valorará experiencia de encargado, en manej ...","montevideo","/anuncio/matrimonio-o-encargado-y-peon-rmspy",2019-02-20 00:14:17
"PEÓN DE REPARTO","Importante empresa","Peon","Servicios - Oficios","Hace 1 mes ","VIVA CERCA DE PARQUE LECOCQ CARGA Y DESCARGA AYUDANTE DE REPARTO VIVA CERCA DE PARQUE LECOCQ CARGA Y DESCARGA AYUDANTE DE REPARTO","montevideo","/anuncio/peon-de-reparto-dajdu",2019-02-20 00:14:17
"PEÓN DE PLANTA INDUSTRIAL","Importante empresa","Peon","Producción","Hace 1 mes ","CARGA Y DESCARGA ENVASADO PRODUCCIÓN TAREAS VARIAS VIVA CERCA DE PARQUE LECOCQ CARGA Y DESCARGA ENVASADO PRODUCCIÓN TAREAS VARIAS","montevideo","/anuncio/peon-de-planta-industrial-2r7ad",2019-02-20 00:14:17
"AUXILIAR ADMINISTRATIVO","MAZARS","Auxiliar","Administración - Secretariado","Hace 1 mes ","Seleccionamos estudiantes de Administración para la empresa de diseño Punto Vendita, ubicada en la zona de Pocitos.  Punto Vendita es una empresa que brin ...","montevideo","/anuncio/auxiliar-administrativo-q7geu",2019-02-20 00:14:17
"AUXILIAR DE ASEGURAMIENTO Y CALIDAD","CONVIXION","Profesional","Producción","Hace 1 mes ","¿Sos Tecnólogo Químico? ¿Te especializaste en gestión de calidad? ¿Contás con conocimientos en normas/sistemas de gestión (calidad, medio ambiente, segurid ...","montevideo","/anuncio/auxiliar-de-aseguramiento-y-calidad-jqh6z",2019-02-20 00:14:17
