"puesto","empresa","nivel","area","fecha","detalle","dpto","fecha_scraping"
"IDONEO/A EN FARMACIA","","Técnico / Especialista","Salud","Hace 3 semanas "," con experiencia en farmacia, horario vespertino","montevideo",2018-12-11 20:23:07
"EMPRENDEDORES","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," EMPRENDEDORES: ¿ Queres llegar a ganar US 10.000 extra ? Y crear tu propio negocio. Trabaja desde donde quieras y controla tus tiempos. Animate a formar p ...","montevideo",2018-12-11 20:23:07
"PROFESORES","Academia","Profesional","Educación - Recreación - Deportes","Hace 3 semanas ","Dictar clases en Academia a nivel de ciclo básico y bachillerato. Solicitamos docentes, egresados, estudiantes de IPA o estudiantes avanzados universitario ...","montevideo",2018-12-11 20:23:07
"CAJERA","","Auxiliar","Ventas - Comercial","Hace 3 semanas "," CAJERA para supermercado experi encia scantech curriculum con foto ","montevideo",2018-12-11 20:23:07
"CHOFER DE TAXI","","Peon","Servicios - Oficios","Hace 3 semanas ","  Montevideo, con experiencia,  libreta categoría E. turno nocturno","montevideo",2018-12-11 20:23:07
"AUXILIAR DE ENFERMERÍA","","Auxiliar","Salud","Hace 3 semanas "," Para centro especializado en niños y adolescentes Zona Paruqe Posadas, Maroñas y Punta de Manga Sueldo $ 28.313 nominal más presentismo","montevideo",2018-12-11 20:23:07
"ADMINISTRATIVO EN COMERCIO EXTERIOR","Importante empresa","Asistente","Comercio Exterior","Hace 3 semanas ","Seleccionamos Asistente en comercio exterior para empresa importadora. Contacto directo con proveedores en oriente y la region.  Administra las ordenes de  ...","montevideo",2018-12-11 20:23:07
"OFICIAL DE MONTAJE MECÁNICO INDUSTRIAL","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," Descripción Ubicación: Treinta y Tres Oficial de Montaje Mecánico Industrial (NO AUTOMOTRIZ) para estructuras y maquinaria industrial (Motores, bombas,  ...","montevideo",2018-12-11 20:23:07
"OFICIAL DE MONTAJE ELÉCTRICO","","Auxiliar","Producción","Hace 3 semanas "," Ubicación: Treinta y Tres  Oficial de Montaje Eléctrico para bandejas, cableado, tableros, iluminación, conexionado industrial con experiencia comprobabl ...","montevideo",2018-12-11 20:23:07
"ADMINISTRATIVO","","Auxiliar","Administración - Secretariado","Hace 3 semanas "," Para empresa de aire acondicionado","montevideo",2018-12-11 20:23:07
"OFICIAL CAÑISTA Y/O CALDERERO","","Oficial","Producción","Hace 3 semanas "," Ubicación: Treinta y Tres.  Oficial Cañista y/o Calderero para montaje industrial. Experiencia: en corte y conformado de piezas metálicas, preparación de ...","montevideo",2018-12-11 20:23:07
"OFICIAL SOLDADOR CALIFICADO","","Oficial","Producción","Hace 3 semanas "," Ubicación: Treinta y Tres.  Oficial Soldador Calificado en diferentes posiciones MIG, MAG, TIG, Pinza y Semi. Sepa utilizar equipo de Oxi Corte y Oxi Gas ...","montevideo",2018-12-11 20:23:07
"OPERARIA FEMENINA LAVADERO","Lavadero Industrial Gral Pallejas 2456","Peon","Producción","Hace 3 semanas ","OPERARIA LAVADERO INDUSTRIAL, PEON","montevideo",2018-12-11 20:23:07
"DESARROLLADOR PL/SQL","ADVICE","Analista","Tecnologías de la información","Hace 3 semanas ","Importante empresa de retail selecciona. Personas con formación terciaria en carreras vinculadas al área de Sistemas.  Será necesario contar con dos años d ...","montevideo",2018-12-11 20:23:07
"SUB JEFE DE CARNICERIA","","Supervisor / Encargado","Ventas - Comercial","Hace 4 semanas ","SUB JEFE de Carnicería para Supermercado  con Conocimientos y Experiencia comprobable mínima de 3 años en el cargo o cargo superior. SUB JEFE de Carnicería ...","montevideo",2018-12-11 20:23:07
"REPOSTERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 4 semanas "," Muy buena remuneracion zona cerro","montevideo",2018-12-11 20:23:07
"CHOFER","","Peon","Servicios - Oficios","Hace 4 semanas "," Categoria E para taxi en Montevideo Radio taxi patronal","montevideo",2018-12-11 20:23:07
"ASISTENTE DE ESCRIBANO","estudio","Asistente","Administración - Secretariado","Hace 4 semanas ","Se necesita asistente para tramites y trabajo interno, llenado de formularios y otros  El horario de trabajo es martes y jueves de 9  a 13. El salario es d ...","montevideo",2018-12-11 20:23:07
"DOCENTE DE INGLÉSCON TTC O SIMILAR","C&B INSTITUTE","Profesional","Educación - Recreación - Deportes","Hace 4 semanas ","Dictar clases de ingles  Dictar clases de ingles","montevideo",2018-12-11 20:23:07
"PREPARADOR/ CONTROLADOR","","Medio Oficial","Producción","Hace 4 semanas "," De pedidos para importador del rubro ferreteria/ bazar.  Entre 25 y 35 años. Se valorará experiencia en el rubro.","montevideo",2018-12-11 20:23:07
"COCINERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," .","montevideo",2018-12-11 20:23:07
"AYUDANTE DE CONFITERO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Para confiteria con experiencia","montevideo",2018-12-11 20:23:07
"SANDWICHERO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia   y referencias Zona Buceo","montevideo",2018-12-11 20:23:07
"ENCARGADO DE RESTAURANTE","","Supervisor / Encargado","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Encargado .","montevideo",2018-12-11 20:23:07
"VENDEDOR/A","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","Venta de Almanaques y Regalos Empresariales Para Montevideo Part o Full Time. No Exclusivos Exelente comision","montevideo",2018-12-11 20:23:07
"MOZO O MOZA PARA RESTAURANTE PARRILLA","Importante empresa","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","Servicio a la mesa  Armado de mise en place  Tareas de limpieza Atención a  clientes","montevideo",2018-12-11 20:23:07
"ANALISTA DE PLANIFICACIÓN Y CONTROL DE GESTIÓN ( RADICACIÓN EN MERCEDES)","AUREN","Analista","Administración - Secretariado","Hace 3 semanas ","Auren Capital Humano selecciona Analista de Planificación y Control de Gestión para importante empresa del sector Agropecuario.  (Radicación en Mercedes)  ...","montevideo",2018-12-11 20:23:07
"COCINERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","despacho y producción, control de stock, etc... orden y mantenimiento de los espacios y herramientas, disciplina en la cocina.","montevideo",2018-12-11 20:23:07
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Efectivo ambos turnos., libreta E Montevideo, taxi 141, relevo puerta a puerta.","montevideo",2018-12-11 20:23:07
"ASISTENTE DENTAL","","Asistente","Salud","Hace 3 semanas "," Con título para clínica odontológica con experiencia.","montevideo",2018-12-11 20:23:07
"AUXILIAR","","Auxiliar","Administración - Secretariado","Hace 3 semanas "," Auxiliar administrativo  ","montevideo",2018-12-11 20:23:07
"TELEFONISTA","","Auxiliar","Administración - Secretariado","Hace 3 semanas "," TELEFONISTA y tareas administrativas, con bachillerato tecnico en administracion UTU. Hector Cardelino  S.A empresa lider en repuestos.","montevideo",2018-12-11 20:23:07
"AUXILAIRES Y CADETES","","Auxiliar","Producción","Hace 3 semanas "," AUXILIAR/ Cadete para stock y ventas empresa lider en repuestos. Requisitos secundaria completa o UTU  Hector Cardelino","montevideo",2018-12-11 20:23:07
"GERENTE DE RRHH","ADVICE","Gerente","Directivos - Ejecutivos","Hace 3 semanas ","Empresa agro-medicinal Buscamos: Profesionales egresados de carreras de Administración de Empresas, Recursos Humanos, Relaciones Laborales o afines. Se va ...","montevideo",2018-12-11 20:23:07
"FACILITY MANAGER","ADVICE","Gerente","Directivos - Ejecutivos","Hace 3 semanas ","Empresa agro-medicinal Buscamos: Profesionales egresados de carreras de Ingeniería o carreras afines.  Muy buen dominio del idioma inglés y fluido manejo  ...","montevideo",2018-12-11 20:23:07
"TÉCNICO EN REFRIGERACIÓN","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," Refrigeración comercial e industrial egresado de UTU, con libreta excluyente. Full time.","montevideo",2018-12-11 20:23:07
"DELIVERY  CON MOTO","","Auxiliar","Cadetería - Cobranzas","Hace 3 semanas "," CON moto para zona Ciudad Vieja, Pocitos. Excluyente co n experiencia y libreta de conducir.  Total disponibilidad","montevideo",2018-12-11 20:23:07
"ACOMPAÑANTES","","Auxiliar","Salud","Hace 3 semanas "," ACOMPAÑANTES con experiencia","montevideo",2018-12-11 20:23:07
"ASISTENTE","","Asistente","Administración - Secretariado","Hace 3 semanas "," ASISTENTE ambos sexos que res ganar dinero?, queres ade lgazar?","montevideo",2018-12-11 20:23:07
"VENDEDOR","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," vendedor ambos sexos queres ganar dinero?, queres adelgazar?","montevideo",2018-12-11 20:23:07
"COCINERO/A AYUDANTE","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Trabajos temporales, disponibilidad horaria. Parador en balneario cuchilla alta.","montevideo",2018-12-11 20:23:07
"CADETE CON MOTO","","Auxiliar","Cadetería - Cobranzas","Hace 3 semanas "," Pago por encimo del laudo incentivos mas taller horario matutino y nocturno","montevideo",2018-12-11 20:23:07
"OFICIAL MECÁNICO INDUSTRIAL","","Oficial","Producción","Hace 3 semanas ","  Contrato Zafral.  Egresados de UTU o Don Bosco Mecánica Industrial y Tornería.  Lun. a Sáb.6-14hs. 14 a22hs.   Al postularse adjuntar CV ","montevideo",2018-12-11 20:23:07
"LIMPIADORA","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," LIMPIADORA papelería mayor ista sueldo nominal $21.150 lu n. a vier. 8 a 12 y 14 a 18, sab. 8 a 12","montevideo",2018-12-11 20:23:07
"OPERARIA PARA EMPAQUE","","Peon","Producción","Hace 3 semanas "," OPERARIA PARA EMPAQUE","montevideo",2018-12-11 20:23:07
"PINTOR","","Peon","Producción","Hace 3 semanas "," PINTOR","montevideo",2018-12-11 20:23:07
"PEON CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Para Solymar","montevideo",2018-12-11 20:23:07
"PINTOR","","Peon","Producción","Hace 3 semanas "," AYUDANTE MANTENIMIENTO PARA EMPRESA, MENSUAL. REBOQUES, PINTURAS, SANITARIA, PRÁCTICO. LUNES 15 HORAS. CONSITUYENTE 1621","montevideo",2018-12-11 20:23:07
"PLANCHERO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Rápido y practico con experiencia","montevideo",2018-12-11 20:23:07
"AUXILIAR DE ELECTRONICA EN GENERAL ","Drayser ltda","Peon","Producción","Hace 3 semanas ","Manejo de instrumentos de medicion,soldadura,reparacion de maquinas Persona responsable ,creativo ,con conocimientos de electrónica en gral. Pro activo y r ...","montevideo",2018-12-11 20:23:07
"AYUDANTE DE PANADERO","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas ","  con experiencia, carne de salud vigente.","montevideo",2018-12-11 20:23:07
"BRUSHINISTA","","Auxiliar","Servicios - Oficios","Hace 3 semanas ","  Colorista, Cortadora, completa con experiencia.","montevideo",2018-12-11 20:23:07
"INSTALADOR","","Oficial","Producción","Hace 3 semanas "," INSTALADOR y/o fabricador de ve ntilación industrial, ductos, campan as, extractores, con experiencia en  empresa del ramo","montevideo",2018-12-11 20:23:07
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Para taxi turno nocturno, sabados y domingos.","montevideo",2018-12-11 20:23:07
"CHOFER DE TAXI","","Peon","Servicios - Oficios","Hace 3 semanas "," Turno noche, efectivo.  Con o sin experiencia y referencias.  Dueño, no flota.  Radio 141.  Buen ambiente laboral.","montevideo",2018-12-11 20:23:07
"ADMINISTRATIVO","","Auxiliar","Administración - Secretariado","Hace 3 semanas ","  Administrativo-facturación p/ Emp.Comercial  Enseñanza Secundaria. Facturación-Atención al Cliente. Windows-Office / PSIG (no excluyente). Sexo masc ...","montevideo",2018-12-11 20:23:07
"ADMINISTRATIVA C/CONTABILIDAD PARA VENTAS.","","Auxiliar","Administración - Secretariado","Hace 3 semanas ","  Con experiencia.  Edad: entre 25 y 35 años.   Sal. Líq. $U 21.000.  Al postularse adjuntar CV","montevideo",2018-12-11 20:23:07
"CHOFER REPARTIDOR","","Peon","Servicios - Oficios","Hace 3 semanas "," Con exp P/empresa prod. alimenticios. Mayor 25 años, Trabajo estable de lunes a viernes  Zona Paso de la Arena. Carné de salud al día. Requisito exclu ...","montevideo",2018-12-11 20:23:07
"AUXILIAR ADMINISTRATIVO","","Auxiliar","Administración - Secretariado","Hace 3 semanas "," AUXILIAR adminitrativo metódico ordenado y prolijo para llenado manu al de planillas, atencion telefónica y  coordinación de trabajo","montevideo",2018-12-11 20:23:07
"BRUSHINISTA","peluquería","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas ","ayudante de peluquería sepa manos depilación  poner numero de contacto ayudante  de peluquería, tiene que saber manos excluyente. buen trato, cumplidora pa ...","montevideo",2018-12-11 20:23:07
"CLARO: EJECUTIVO DE VENTAS CORPORATIVO","ADVICE","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","Nos esforzamos por ser protagonistas de nuestro desarrollo y alcanzar una mejora continua en los servicios, productos y soluciones que brindamos a nuestros ...","montevideo",2018-12-11 20:23:07
"PANADERO","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas ","  con experiencia en el area de bizcocheria,  buena remuneracion.","montevideo",2018-12-11 20:23:07
"AYUDANTE MASCULINO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," para panaderia  responsasble","montevideo",2018-12-11 20:23:07
"VENDEDORES","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," Quiere ganar dinero extra,  Construya su propio negocio  productos ALOE inversion $ 1.600 en productos","montevideo",2018-12-11 20:23:07
"CONFITERO/A","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," CONFITERO/ confitera para supermercado, con referencias y experiencia.","montevideo",2018-12-11 20:23:07
"APRENDIZ","","Peon","Producción","Hace 3 semanas "," Con conocimiento en electrica MB Uruguay","montevideo",2018-12-11 20:23:07
"SUSHIMAN","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," SUSHIMAN","montevideo",2018-12-11 20:23:07
"PLANCHERO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," c/exp., horario vespertino.","montevideo",2018-12-11 20:23:07
"CUIDADORA","","Auxiliar","Salud","Hace 3 semanas "," para Residencial de la tercera edad.","montevideo",2018-12-11 20:23:07
"AYUDANTE DE   CONFITERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," con experiencia, carne de salud vigente.","montevideo",2018-12-11 20:23:07
"ENARGADO","","Supervisor / Encargado","Ventas - Comercial","Hace 3 semanas ","  para pizzeria y parrillada, con experiencia comprobable enviar","montevideo",2018-12-11 20:23:07
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," Para casa de repuestos de moto con experiencia y referencias","montevideo",2018-12-11 20:23:07
"ELABORADORA","","Peon","Producción","Hace 3 semanas "," ELABORACIÓN de alimentos perso nal con experiencia de 25 a 35 año s.","montevideo",2018-12-11 20:23:07
"REPARTIDOR","","Auxiliar","Cadetería - Cobranzas","Hace 3 semanas ","  Indispensable mo to y experiencia. Sueldo fijo + incen tivos. De 11 a 15 hrs y 20 a 24 hrs. ","montevideo",2018-12-11 20:23:07
"AUXILIAR DE REPUESTOS","","Auxiliar","Atención al cliente","Hace 3 semanas "," Buscamos Auxiliar de Repuestos automotriz enviar CV a recursoshumanos@rcristofano.com","montevideo",2018-12-11 20:23:07
"CHOFER TAXI.","Importante empresa","Oficial","Servicios - Oficios","Hace 3 semanas ","Chofer Chófer de taxi con libreta categoría E montevideo, turno noche y dia. Puesto para titulares y suplentes, con o sin experiencia en taxi pero si de ma ...","montevideo",2018-12-11 20:23:07
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Chofer uber nocturno","montevideo",2018-12-11 20:23:07
"MUSICOS PARA ORQUESTA TROPICAL","conjuno tropical","Otros","Arte - Diseño - Comunicación","Hace 3 semanas ","Se necesitan músicos para orquesta tropical, con experiencia, seriedad y compromiso. Trabajo pactado luego de conformada la misma. Instrumento y disponibi ...","montevideo",2018-12-11 20:23:07
"COCINERA PARA RESIDENCIAL","JOSVAL S.R.L.","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","Cocinera imprescindible con experiencia en el rubro residenciales. Horario de 07 a 15. Sueldo a mes completo $20.800 en mano. Residencial Las Condes Con ca ...","montevideo",2018-12-11 20:23:07
"VENDEDOR EN MONTEVIDEO","Empresa de bebidas","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","Se busca una persona con buena presencia y excelente capacidad de relacionamiento. Es importante que sea proactiva y capaz de comprender nuestro mercado ge ...","montevideo",2018-12-11 20:23:07
"VENDEDOR PARA IMPORTANTE AUTOMOTORA","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," Vendedor Sólo con experiencia en ventas para automotora.","montevideo",2018-12-11 20:23:07
"AYUDANTES","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," AYUDANTE de panadero adelanta do con experiencia y referencias","montevideo",2018-12-11 20:23:07
"TECNICO EN REPARACION","","Asistente","Tecnologías de la información","Hace 3 semanas "," De impresoras/ multifunción con libreta de conducir, full time.","montevideo",2018-12-11 20:23:07
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Instructor para academia de conductores del dpto de Canelones para varias zonas  Excluyente tener licencia con 5 años de antiguedad","montevideo",2018-12-11 20:23:07
"COCINERO/PLANCHERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," para local gastronomico,  disp. horaria y con experiencia.","montevideo",2018-12-11 20:23:07
"PEON","","Oficial","Servicios - Oficios","Hace 3 semanas "," MEDIO oficial y peon practico elect ricista para obra","montevideo",2018-12-11 20:23:07
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Para uber para 2 turnos, libreta E., empresa (DGI-BPS) Con experiencia y referencias.","montevideo",2018-12-11 20:23:07
"LIMPIAVIDRIOS-LIMPIADORES","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," Con  experiencia para Lagomar, Atlantida.  ","montevideo",2018-12-11 20:23:07
"MUCHACHO CON LIBRETA PARA MANTENIMIENTO AUTOMOTORA","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," MUCHACHO con libreta de chofer para tareas de mantenimiento en automotora Enviar mail a","montevideo",2018-12-11 20:23:07
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," CHOFER para zona EL Pinar cn libreta profesional de lunes  a viernes de 8 a 17 horas.","montevideo",2018-12-11 20:23:07
"TECNICO EN REFRIGERACION","ATE","Técnico / Especialista","Producción","Hace 3 semanas ","REPARACION DE REFRIGERADORES EN DOMICILIO Y TALLER. ENVIAR CV CON ASPIRACIONES SALARIALES REPARAR ELECTRODOMESTICOS","montevideo",2018-12-11 20:23:07
"ADMINISTRATIVA CALIFICADA","Empresa logística","Auxiliar","Administración - Secretariado","Hace 3 semanas ","Nos orientamos a la búsqueda de una administrativa calificada, proactiva y con motivación a afrontar tareas varias, con experiencia comprobada en liquidaci ...","montevideo",2018-12-11 20:23:07
"JEFE DE OBRA - (ZONA OESTE DEL URUGUAY)","ADVICE","Jefe","Construcción - Arquitectura","Hace 3 semanas ","Empresa agro-medicinal Buscamos: Profesionales egresados de la carrera de Ingeniería Civil. Deberá contar con dominio en instalaciones mecánicas, automati ...","montevideo",2018-12-11 20:23:07
"JEFE DE MANTENIMIENTO - (ZONA OESTE DEL URUGUAY)","ADVICE","Jefe","Producción","Hace 3 semanas ","Empresa agro-medicinal Buscamos: Profesionales egresados de Ingeniería industrial, Mecánica o Eléctrica. Conocimiento en maquinaria industrial. Manejo de  ...","montevideo",2018-12-11 20:23:07
"INGENIERO DE DISEÑO","ADVICE","Profesional","Producción","Hace 3 semanas ","Empresa agro-medicinal Formación en Ingeniería Eléctrica, Industrial Mecánica o Ingeniería de Producción.  Dominio de idioma inglés.  Experiencia mínima d ...","montevideo",2018-12-11 20:23:07
"VENDEDOR","EMPRESA","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","Buscamos vendedor o distribuidor en el interior del pais, preferentemente tenga cartera de clientes, que se dedique a vender , vajilla, cristalerìa , bazar ...","montevideo",2018-12-11 20:23:07
"DEPILADORA","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," Con experiencia en sistema de cera negra, de 18 a 35 años.","montevideo",2018-12-11 20:23:07
"PLANCHERO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," PLANCHERO con experiencia.en elaboracion comprobable y excluyen te Presentarse con C.v en Nuevo Centro Shopping, plaza de comidas,  local 235.","montevideo",2018-12-11 20:23:07
"VCAJERO/A","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Para local gastronomico disp. horaria y con experiencia.","montevideo",2018-12-11 20:23:07
"SERENO","","Peon","Servicios - Oficios","Hace 3 semanas "," SERENO","montevideo",2018-12-11 20:23:07
"ATENCION AL MOSTRADOR PARA ROTISERIA","Rotiseria","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","Atencion al publico  Orden y limpieza Cumplir tareas asignadas  Llegar en hora","montevideo",2018-12-11 20:23:07
"VENDEDOR WEB","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," publicacion de productos y ventas,  freelancer y precencial.","montevideo",2018-12-11 20:23:07
"CONDUCTOR PROFESIONAL CON VEHÍCULO EMPADRONADO","CORMAR Traslados Corporativos","Auxiliar","Servicios - Oficios","Hace 3 semanas ","Empresa regional se encuentra en la búsqueda de Conductores Profesionales con vehículo propio, para la prestación de servicios de Remise Empresarial, tanto ...","montevideo",2018-12-11 20:23:07
"JEFE DEPARTAMENTO TÉCNICO","Alir ","Profesional","Producción","Hace 3 semanas ","- Coordinación y planificación de Tareas. - Control de tareas en los diferentes procesos. -  Realización de informes técnicos. - Manejo de planos autocad.  ...","montevideo",2018-12-11 20:23:07
"PINTRO PREPARADOR","","Oficial","Servicios - Oficios","Hace 3 semanas "," Con oficio MG taller selecciona Con buena presencia Zona Costa Urbana Shopping.","montevideo",2018-12-11 20:23:07
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," Pre-venta con lic. para moto, experiencia, conocimiento, mayorista selecciona. Ofrecemos moto.","montevideo",2018-12-11 20:23:07
"BRUSHINISTAS","","Auxiliar","Servicios - Oficios","Hace 3 semanas ","  con mucha experiencia en peinados y maquillaje.  horario de 16 a 22 hs fines de semana ","montevideo",2018-12-11 20:23:07
"CHOFER PARA TAXI","","Medio Oficial","Producción","Hace 3 semanas ","Preferentemente viva en Buceo o con locomoción CHOFER para Taxi experiencia en taxi remis o similar. ","montevideo",2018-12-11 20:23:07
"LIMPIADORES - LIMPIADORAS","","Auxiliar","Servicios - Oficios","Hace 3 semanas ","  Experiencia.  Referencia.  Buena presencia.  Certificado de buena conducta.  Resida en Montevideo  Al postularse adjuntar CV.","montevideo",2018-12-11 20:23:07
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Taxi 141 libreta categoria E con referencias titulares y suplentes  trato con el dueño","montevideo",2018-12-11 20:23:07
"CADETE","","Auxiliar","Cadetería - Cobranzas","Hace 3 semanas "," para Supermercado.","montevideo",2018-12-11 20:23:07
"MAQUINISTA","","Oficial","Producción","Hace 3 semanas "," con experiencia","montevideo",2018-12-11 20:23:07
"CONFIRTERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia para panadería.","montevideo",2018-12-11 20:23:07
"DELIVERY","","Auxiliar","Cadetería - Cobranzas","Hace 3 semanas "," con moto, buena p recencia Para zonas, Pocitos,  Punta Carretas y Brazo Oriental","montevideo",2018-12-11 20:23:07
"AYUDANTE DE COCINA","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Mayor de 30 años","montevideo",2018-12-11 20:23:07
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Particular de radio patronal con experiencia y buenas referencias. fijos o suplencias de 6  a 14 y de 14 a 22 hrs","montevideo",2018-12-11 20:23:07
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Con libreta E para nocturno suplencia con o sin  experiencia","montevideo",2018-12-11 20:23:07
"ATENCION DE MOSTRADOR","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," Mostrador de panadería con experiencia","montevideo",2018-12-11 20:23:07
"CADETE CON MOTO","","Auxiliar","Cadetería - Cobranzas","Hace 3 semanas "," c/moto y conocimientos de calles, buena presencia.","montevideo",2018-12-11 20:23:07
"NEGOCIADOR GESTOR DE MOROSOS","Importante empresa","Auxiliar","Teleoperadores - Call Center","Hace 3 semanas ","Cobrar Negociar Investigar Lograr objetivos Colectivos en individuales","montevideo",2018-12-11 20:23:07
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Para taxi, ambos turnos, solo con experiencia ( no excluyente en taxi) y referencias","montevideo",2018-12-11 20:23:07
"CONFITERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia","montevideo",2018-12-11 20:23:07
"CONFITERIA","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia.","montevideo",2018-12-11 20:23:07
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Para taxi libreta cat. E, con o sin experiencia en taxi","montevideo",2018-12-11 20:23:07
"PELUQUERA","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," PELUQUERA con experiencia y referencias, part time, para zona de 3 cruces.","montevideo",2018-12-11 20:23:07
"CUIDADOR","","Auxiliar","Salud","Hace 3 semanas "," CUIDADOR. Persona para atención, cuidado y aseo para persona con discapacidad psicomotriz y tareas vinculadas en casa de familia. Persona de buen trato, r ...","montevideo",2018-12-11 20:23:07
"RECEPCIONISTA - CAJERO -","","Auxiliar","Administración - Secretariado","Hace 3 semanas ","Varias, como por ejemplo, 1) Disposición con el cliente:  Ser atento y cordial con los huéspedes, tener iniciativa para responder inquietudes que le puedan ...","montevideo",2018-12-11 20:23:07
"MASAJISTA","","Técnico / Especialista","Salud","Hace 3 semanas "," Que sepa aparatologia estética, para centro estético en Pocitos.","montevideo",2018-12-11 20:23:07
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," CHOFER remises y minibus, con Inglés,","montevideo",2018-12-11 20:23:07
"PREPARADOR/ CONTROLADOR","","Auxiliar","Logística - Distribución","Hace 3 semanas "," De pedidos para importador del rubro ferreteria/ bazar.  Entre 25 y 35 años.  Se valorará experiencia en el rubro.  ","montevideo",2018-12-11 20:23:07
"AUXILIAR DE DEPOSITO","","Auxiliar","Logística - Distribución","Hace 3 semanas "," AUXILIAR DE DEPOSITO","montevideo",2018-12-11 20:23:07
"GUARDIAS DE SEGURIDAD ARMADOS","GRUPO RELUCE","Auxiliar","Seguridad - Vigilancia","Hace 3 semanas ","Importante empresa de seguridad selecciona: GUARDIAS DE SEGURIDAD ARMADOS (ÚNICAMENTE HOMBRES) que residan en la ciudad de Montevideo y Las Piedras. Se of ...","montevideo",2018-12-11 20:23:07
"ADMINISTRATIVO GASTOS COMUNES","Inmobiliaria","Auxiliar","Administración - Secretariado","Hace 3 semanas ","Atención Telefónica Tramites  Liquidación de Gastos Comunes Reuniones de Consorcio Atención y buen servicio a los consorcios.","montevideo",2018-12-11 20:23:07
"PANADERO","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," Con experiencia y referencias.","montevideo",2018-12-11 20:23:07
