"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"TÉCNICO INSTALADOR PAYSANDÚ","Consultora Human Phi","Técnico / Especialista","Producción","Hace 1 mes ","Seleccionamos para empresa en Paysandú Técnicos que cumplan con el siguiente perfil: Los Requisitos •	Residencia actual en la ciudad de Paysandú (excluye ...","paysandu","/anuncio/tecnico-instalador-paysandu-vnzju",2019-07-31 02:44:42
"CAPATAZ","IAT EFG","Supervisor / Encargado","Construcción - Arquitectura","Hace 6 días ","CAPATAZ para cooperativa de ayuda mutua de 48 viviendas de una planta y dúplex en Ecilda Paullier, San José a iniciarse en setiembre. Curriculums contenien ...","san-jose","/anuncio/capataz-szgne",2019-07-31 02:44:42
"SECRETARIO","Centro interdisciplinario en el departamento de San José de Mayo","Asistente","Administración - Secretariado","Hace 4 semanas ","Administrativo LLAMADO Centro interdisciplinario orientado a niños y adolescentes llama a secretario en tareas administrativas.   SE VALORARÁ:   - Cursos d ...","san-jose","/anuncio/secretario-m7823",2019-07-31 02:44:42
"SUPERVISOR DE MANTENIMIENTO.","  ","Supervisor / Encargado","Producción","Hace 1 mes ","supervisar y asignar tareas al equipo oficial de mantenimiento. Seleccionamos Supervisor de mantenimiento para desempeñarse en una Industria en la zona de  ...","san-jose","/anuncio/supervisor-de-mantenimiento-3yr5h",2019-07-31 02:44:42
"VENDEDOR PARA CURSO COACHING","Enfoque Eneagrama","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","¿Te interesa el coaching y la inteligencia emocional? ¿Disfrutas hablar en pu´blico?  ¿Tienes un deseo genuino de ayudar a las empresas y su gente a tener  ...","san-jose","/anuncio/vendedor-para-curso-coaching-aqedr",2019-07-31 02:44:42
"TÉCNICO ÓPTICO","Importante empresa","Técnico / Especialista","Salud","Hace 2 semanas ","Maldonado -Se necesita Técnico Óptico. Varias","maldonado","/anuncio/tecnico-optico-b92hb",2019-07-31 02:44:42
"ASISTENTE DE INFRAESTRUCTURA (MALDONADO)","NETUY","Asistente","Tecnologías de la información","Hace 1 mes ","Colaborar en todas las tareas inherentes al área de infraestructura física, sistemas operativos (instalación, configuración, mantenimiento, Linux y Windows ...","maldonado","/anuncio/asistente-de-infraestructura-maldonado-armdy",2019-07-31 02:44:42
"ASESOR DE VENTAS Y DE TRABAJO EN EQUIPO Y REDES","SaludGlobal","Ejecutivo Comercial","Ventas - Comercial","Hace 1 día ","Formar y capacitar a equipos en ventas y redes de mercado Capacitarse, asesorarse sobre sistema de ventas y a la vez formar equipos, capacitarlos y asesora ...","maldonado","/anuncio/asesor-de-ventas-y-de-trabajo-en-equipo-y-redes-54uvr",2019-07-31 02:44:42
"ENCARGADA/O DE TIENDA EN MALDONADO","CHIC PARISIEN ","Supervisor / Encargado","Ventas - Comercial","Hace 3 semanas ","Seleccionamos Encargada/o de local comercial en el Departamento de Maldonado.  Orientamos nuestra búsqueda a personas dinámicas con gusto por la venta y l ...","maldonado","/anuncio/encargada-o-de-tienda-en-maldonado-j268e",2019-07-31 02:44:42
"TALLER DE COSTURA","Estela Schenck","Oficial","Producción","Hace 1 mes ","Se ofrece servicio de taller de costura. Todas las máquinas y tipo de prendas. Consultar Corte confección y todo lo referente al área.","maldonado","/anuncio/taller-de-costura-87zrq",2019-07-31 02:44:42
"LIDERES DE EQUIPOS Y VENTAS","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Preferentemente mayores de 50 años. Profesionalizarse, adquiriendo aptitudes de venta y liderazgo de  equipos. Tarea independiente, sin sueldo fijo. Desarr ...","maldonado","/anuncio/lideres-de-equipos-y-ventas-stq9h",2019-07-31 02:44:42
"VENDEDOR CURSO DE COACHING","Enfoque Eneagrama","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","¿Te interesa el coaching y la inteligencia emocional? ¿Disfrutas hablar en pu´blico?  ¿Tienes un deseo genuino de ayudar a las empresas y su gente a tener  ...","maldonado","/anuncio/vendedor-curso-de-coaching-ayuvh",2019-07-31 02:44:42
"VENDEDOR","Angelina Accesorios","Auxiliar","Atención al cliente","Hace 1 mes ","-Atención al Publico Directo -Limpieza del salón -Reposición de Productos -Asesoramiento al cliente -Arqueo de Caja -Ventas personalizadas fuera del salón  ...","maldonado","/anuncio/vendedor-u5er3",2019-07-31 02:44:42
"VENDEDOR/A IMPORTANTE MARCA – PUNTA DEL ESTE","Consultora Human Phi","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Selecciona para local comercial de prestigiosa marca ubicado en Punta del Este: Nos encontramos en la búsqueda de una persona que sea capaz de iniciar y d ...","maldonado","/anuncio/vendedor-a-importante-marca-punta-del-este-5drt8",2019-07-31 02:44:42
"BARISTAS Y PERSONAL DE COCINA CON EXPERIENCIA PARA LA CIUDAD DE LA COSTA","Emprendimiento gastronómico en la Ciudad de la Costa - Canelones","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 4 semanas ","Buscamos para nuevo emprendimiento, cocinero/a y Baristas con experiencia. Las principales funciones son:  - Preparacion de café en sus distintas modalidad ...","canelones","/anuncio/baristas-y-personal-de-cocina-con-experiencia-para-la-ciudad-de-la-costa-jy8ee",2019-07-31 02:44:42
"CHEF COCINERO","Indicó Pizza Bar ","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Seleccionamos Chef  Cocinero , responsable, puntual,  para sábados y domingos al mediodía, preferentemente viva en la zona de Ciudad de la Costa horario de ...","canelones","/anuncio/chef-cocinero-asnvh",2019-07-31 02:44:42
"LICENCIADO/A EN ENFERMERÍA","CRAMI IAMPP","Técnico / Especialista","Salud","Hace 1 mes ","LLAMADO ABIERTO PARA LICENCIADO/AS EN ENFERMERÍA                                            Requisitos:                                - Titulo habilitado ...","canelones","/anuncio/licenciado-a-en-enfermeria-yh9zy",2019-07-31 02:44:42
"LICENCIADO/A EN ENFERMERÍA CTI","CRAMI IAMPP","Técnico / Especialista","Salud","Hace 1 mes ","LLAMADO ABIERTO A LICENCIADOS/AS EN ENFERMERÍA SUPLENTE CTI                                           Requisitos:                        - Curso de CTI y/ ...","canelones","/anuncio/licenciado-a-en-enfermeria-cti-g9d5z",2019-07-31 02:44:42
"AUXILIAR DE MANTENIMIENTO","CHIC PARISIEN ","Auxiliar","Producción","Hace 1 mes ","- Ejecución de tareas de albañilería, pintura, carpintería, electricidad y herrería.  - Reparar.  - Remodelar.   - Construir y reconstruir.   - Presupuesta ...","canelones","/anuncio/auxiliar-de-mantenimiento-65znm",2019-07-31 02:44:42
"CAJERO PARA IMPORTANTE LOCAL UBICADO EN SHOPPING COSTA URBANA","AGLH Consultores","Auxiliar","Ventas - Comercial","Hace 1 mes ","La persona deberá realizar tareas tales como manejo de caja, atención al cliente. Así como también otras tareas como son reposición de mercadería, orden y  ...","canelones","/anuncio/cajero-para-importante-local-ubicado-en-shopping-costa-urbana-gn6b9",2019-07-31 02:44:42
"AUXILIAR DE CALIDAD","Montich Uruguay S.A.","Asistente","Producción","Hace 1 mes ","Persona Idonea en control de calidad, se valora conocimientos: Norma ISO 9001-2008-16949 Conocimientos de soldadura Pintura Instrumentos de Medición Excel  ...","canelones","/anuncio/auxiliar-de-calidad-t8yye",2019-07-31 02:44:42
"CAJERO VENDEDOR","BRITT SHOP URUGUAY SA","Auxiliar","Ventas - Comercial","Hace 1 mes ","Importante empresa de Retail con reconocimiento internacional te invita a vivir una experiencia única siendo parte de su staff de vendedores Full Time en A ...","canelones","/anuncio/cajero-vendedor-b9ur8",2019-07-31 02:44:42
"CARPINTERO-LUSTRADOR","Importante empresa","Oficial","Servicios - Oficios","Hace 1 mes ","Fabricación y lustrado con lacas de aberturas. Fabricar, preparar y lustrar todo tipo de aberturas en madera.","canelones","/anuncio/carpintero-lustrador-32aye",2019-07-31 02:44:42
"ADMINISTRATIVO CONTABLE","Consultora","Asistente","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","CONTABLES, REGISTRACIONES CONCILIACIONES DE ACUERDO AL CARGO","canelones","/anuncio/administrativo-contable-sa2sn",2019-07-31 02:44:42
"REPONEDORES PARA LOCAL UBICADO EN SHOPPING COSTA URBANA","AGLH Consultores","Auxiliar","Ventas - Comercial","Hace 1 mes ","La persona deberá realizar tareas tales como reposición de mercadería, control de stock, orden y mantenimiento del lugar de trabajo Orientamos la búsqueda  ...","canelones","/anuncio/reponedores-para-local-ubicado-en-shopping-costa-urbana-t47ma",2019-07-31 02:44:42
"COMUNICADOR - PERIODISTA","Importante empresa","Profesional","Arte - Diseño - Comunicación","Hace 1 mes ","item 1.- comunicador para radio y tv. con experiencia en ventas item 2.- vendedor  con experiencia en intangibles  item 3.- marketing comunicación radio y/ ...","canelones","/anuncio/comunicador-periodista-9he92",2019-07-31 02:44:42
"SOLDADOR EN ALTURA","EMPRESA METALURGICA","Técnico / Especialista","Producción","Hace 1 mes ","Soldador para trabajo zafral de 3 meses de montaje de galpón. Preferentemente en zona de Las Piedras o Progreso. Deberá trabajar  en equipo de armado de un ...","canelones","/anuncio/soldador-en-altura-mvj4z",2019-07-31 02:44:42
"CHOFER DE CAMIÓN","Empresa de transporte","Peon","Servicios - Oficios","Hace 1 mes ","Chofer repartidor para distribución en Montevideo Chofer categoría B con experiencia en repartos en Montevideo. Excluyente domicilio en la Costa de Oro.","canelones","/anuncio/chofer-de-camion-yvnub",2019-07-31 02:44:42
"VENDEDORA","Salud bienestar y calidad de vida ","Ejecutivo Comercial","Ventas - Comercial","Hace 4 semanas ","Se buscan jovenes de 18 a 33 años, con o sin experiencia en ventas. Horario part-time o full-time. Ganancias diarias, cheques quincenales, bonos, viajes in ...","canelones","/anuncio/vendedora-zq73j",2019-07-31 02:44:42
"VENDEDORA","Salud bienestar y calidad de vida ","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Se buscan jovenes de 18 a 33 años, con o sin experiencia en ventas. Horario part-time o full-time. Ganancias diarias, cheques quincenales, bonos, viajes in ...","canelones","/anuncio/vendedora-9dhz4",2019-07-31 02:44:42
"VENDEDORA","MYGNS","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Se buscan jóvenes de 18 a 33 años, con o sin experiencia en ventas. Horario part-time o full-time. Ganancias diarias, cheques quincenales, bonos, viajes in ...","canelones","/anuncio/vendedora-ejbv8",2019-07-31 02:44:42
"VENDEDORA","MYGNS","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Se buscan jóvenes de 18 a 33 años, con o sin experiencia en ventas. Horario part-time o full-time. Ganancias diarias, cheques quincenales, bonos, viajes in ...","canelones","/anuncio/vendedora-puhyg",2019-07-31 02:44:42
"VESTUARISTAS","Importante empresa","Otros","Arte - Diseño - Comunicación","Hace 1 mes ","Tareas en el vestuario de un club deportivo ayudando a cambiar niños y mantenimiento de la limpieza general del vestuario y sectores de uso público. Tareas ...","canelones","/anuncio/vestuaristas-zyjvn",2019-07-31 02:44:42
"CHOFER REPARTIDOR","Tres Puntos","Auxiliar","Logística - Distribución","Hace 1 mes ","Armado de pedidos Visitar y crear clientes Compras y control de stock Cobranzas Preferentemente de la zona  Desarrollar y mantener cartera de clientes con  ...","canelones","/anuncio/chofer-repartidor-bpt6e",2019-07-31 02:44:42
"VENDEDORA","Salud bienestar y calidad de vida ","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Se necesitan vendedoras de 18 a 33 años con o sin experiencia en ventas. Horario Part-Time o Full-Time. Buena Presencia Responsabilidad Buena actitud  Diná ...","canelones","/anuncio/vendedora-6s2am",2019-07-31 02:44:42
"OFICIAL HERRERO","Importante empresa","Oficial","Producción","Hace 1 mes ","Armado rejas, escaleras, plataformas. etc. En su cargo, cumplimiento de horarios .","canelones","/anuncio/oficial-herrero-nst25",2019-07-31 02:44:42
"OFICIAL ELECTRO CONTROL","PwC Uruguay","Oficial","Producción","Hace 1 mes ","Este llamado es abierto y contempla lo establecido por la Ley 18.651 referida a personas con discapacidad y deberán expresarlo en su postulación. Requisit ...","canelones","/anuncio/oficial-electro-control-apmhr",2019-07-31 02:44:42
"INSTALADOR DE ALARMAS RESIDENCIALES, COMERCIALES Y CCTV","Importante empresa","Oficial","Servicios - Oficios","Hace 1 mes ","Instalación y Mantenimiento de Sistemas de Alarmas y Cámaras de Seguridad. Nuestra empresa le brinda el servicio de instalación a reconocidas empresas en e ...","canelones","/anuncio/instalador-de-alarmas-residenciales-comerciales-y-cctv-4zth3",2019-07-31 02:44:42
"PROMO VENDEDOR","Pafydes","Ejecutivo Comercial","Ventas - Comercial","Hace 1 día ","Promotor de productos seleccionados. Vendedor de productos. Manejar efectivo Ser proactivo Imprescindible vivir en Cuidad de la Costa.","canelones","/anuncio/promo-vendedor-dpyq3",2019-07-31 02:44:42
"EMPLEADA CON CAMA","Edward","Auxiliar","Servicios - Oficios","Hace 4 días ","Limpieza del la casa Cuidado de persona mayor con demencia senil Ayudar en cocina Cuidado del adulto mayor Limpieza","canelones","/anuncio/empleada-con-cama-6eb7e",2019-07-31 02:44:42
"BUSCAMOS PRODUCTOS PARA SUMAR A NUESTRA DISTRIBUCION CIUDAD DE LA COSTA, LAS PIEDRAS","Cavalieri","Auxiliar","Logística - Distribución","Hace 6 días ","Somos distribuidores a domicilio en Ciudad de la Costa, Atlantida, La Paz, Las Piedras y alrededores. Buscamos productos para sumar a nuestra cartera de pr ...","canelones","/anuncio/buscamos-productos-para-sumar-a-nuestra-distribucion-ciudad-de-la-costa-las-piedras-ytu72",2019-07-31 02:44:42
"CHOFER DE CAMIÓN","Empresa de transporte","Otros","Arte - Diseño - Comunicación","Hace 1 semana ","Empresa de transporte busca chofer de camión categoría C  o superior para reparto en el interior. Requisitos : Libreta profesional categoría C o superior,  ...","canelones","/anuncio/chofer-de-camion-q3vd8",2019-07-31 02:44:42
"REPONEDOR - CAJERO / PARA IMPORTANTE LOCAL UBICADO EN SHOPPING COSTA URBANA","AGLH Consultores","Auxiliar","Ventas - Comercial","Hace 2 semanas ","Orientamos la búsqueda a personas con experiencia vinculada al área de reposición, atención al cliente y/o similar. Se requiere contar con disponibilidad p ...","canelones","/anuncio/reponedor-cajero-para-importante-local-ubicado-en-shopping-costa-urbana-7at3t",2019-07-31 02:44:42
"REPONEDOR EXTERNO (MONTEVIDEO, COSTA DE ORO))","Importante empresa","Auxiliar","Ventas - Comercial","Hace 2 semanas ","Buscamos personas con experiencia dentro de las siguientes áreas: -Merchandisers -Reposición en supermercados, autoservicios o similares. -Manejo de mercad ...","canelones","/anuncio/reponedor-externo-montevideo-costa-de-oro-sjzvn",2019-07-31 02:44:42
"ENCARGADA/O DE CAJAS","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 2 semanas ","Seleccionamos Encargada/o de Cajas para local en Costa Urbana Shopping. Se requiere de experiencia en la tarea (excluyente), capacidad de liderazgo, organi ...","canelones","/anuncio/encargada-o-de-cajas-m4pz7",2019-07-31 02:44:42
"VIGILANTE","Daltiro SA ","Auxiliar","Seguridad - Vigilancia","Hace 2 semanas ","El Clon selecciona para su sucursal en Pando: Vigilante Se requiere de buena presencia, experiencia en el área de vigilancia y disponibilidad horaria de lu ...","canelones","/anuncio/vigilante-6d7ne",2019-07-31 02:44:42
"COCINERO/AYUDANTE DE COCINA/PEON","Importante empresa en Ciudad de la Costa","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","Asistir en el proceso de elaboracion de alimentos Acorde al cargo. Imprescindible: Referencias comprobables y vivir cerca de Ciudad de la Costa.","canelones","/anuncio/cocinero-ayudante-de-cocina-peon-m659q",2019-07-31 02:44:42
"COCINERA PARA HOTEL","HOTEL BAHAMAS","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 4 semanas ","Todo lo relacionado al puesto de trabajo, cocinar para grupos y a la carta, repostería para desayunos. Turno Nocturno de 16 a 00 Capacidad de trabajar en e ...","canelones","/anuncio/cocinera-para-hotel-b76rt",2019-07-31 02:44:42
"ASISTENTE DE BODEGA","TESDRAC SRL","Asistente","Logística - Distribución","Hace 6 horas ","Dentro de sus funciones destacan: • Experiencia en manejo de bodega e inventarios, sistemas operativos, logística y operaciones. • Responsable de mantener  ...","canelones","/anuncio/asistente-de-bodega-a7pu7",2019-07-31 02:44:42
"AUXILIAR DE LIMPIEZA","TELEMONT SA","Auxiliar","Servicios - Oficios","Hace 2 días ","Funciones Generales • Mantener en orden la planta, áreas de producción y en general las áreas asignadas • Realizar aseo a las diferentes áreas de la empre ...","canelones","/anuncio/auxiliar-de-limpieza-4748v",2019-07-31 02:44:42
"REPONEDOR PARA SUPERMERCADO","Importante empresa","Auxiliar","Ventas - Comercial","Hace 4 días ","La búsqueda se orienta a personas responsables y proactivas, para trabajar en supermercado de estación de servicio en Lagomar  Se requiere Ciclo Básico co ...","canelones","/anuncio/reponedor-para-supermercado-6y5m3",2019-07-31 02:44:42
"PANADERO","Mercado Del Este","Técnico / Especialista","Servicios - Oficios","Hace 1 semana ","amasado,  armado,  cocción pasión por la tarea,   la zona es Barros Blancos","canelones","/anuncio/panadero-rhn94",2019-07-31 02:44:42
"ENCARGADO PARA TALLER DE CARPINTERIA EN MELAMINICO","Moreira Maderas","Supervisor / Encargado","Producción","Hace 1 semana ","Por favor contestar las preguntas, de lo contrario no se tendran en cuenta los cv. Participar en la produccion, lectura de planos, armado y coordinacion de ...","canelones","/anuncio/encargado-para-taller-de-carpinteria-en-melaminico-gajym",2019-07-31 02:44:42
"VENDEDORA","Salud bienestar y calidad de vida ","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","Se necesitan vendedoras jovenes comprometidas, con o sin experiencia. Con deseo de superarse tanto el lo laboral como personal Comprometido  Responsable Di ...","canelones","/anuncio/vendedora-7za5y",2019-07-31 02:44:42
"PEON","TERZANO BONINA EDUARDO ARIEL","Peon","Construcción - Arquitectura","Hace 1 semana ","Nuestra Empresa Nacional Innovadora de primer Nivel, que brinda un muy bien ambiente laboral y una remuneracion acorde a las responsabilidades a traves de  ...","canelones","/anuncio/peon-j265g",2019-07-31 02:44:42
"MAESTRO PANADERO","SUPERMERCADO IMPERIO DEL ESTE EN PINAMAR","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 semana ","ELABORACIÓN (PANES, BIZCOCHOS, PIZZAS, OJITOS, POLVORONES) LIMPIEZA DEL AREA DE TRABAJO HIGIENE DEL LUGAR Y MAQUINARIA.","canelones","/anuncio/maestro-panadero-7rnj7",2019-07-31 02:44:42
"OPORTUNIDAD DE SER VENDEDOR PARA UNA PRESTIGIOSA EMPRESA MULTINACIONAL ","Facing a new era ","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","-Venta directa al público. -Seguimiento a la cartera de clientes. -Manejo de las redes sociales. -Postura de negocios. Persona proactiva, disciplinado, res ...","canelones","/anuncio/oportunidad-de-ser-vendedor-para-una-prestigiosa-empresa-multinacional-p3vvm",2019-07-31 02:44:42
"VENDEDOR PARA EL INTERIOR DEL PAÍS","PwC Uruguay","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Requisitos: •	Residir en el interior del país (Paysandú, Rivera o Salto). •	Viajar mínimo dos veces al mes a las oficinas Montevideo. •	Experiencia en vent ...","canelones","/anuncio/vendedor-para-el-interior-del-pais-896ez",2019-07-31 02:44:42
"LAVADOR","RALINOS SA","Auxiliar","Servicios - Oficios","Hace 2 semanas ","Excluyente libreta de conducir,  limpieza completa de vehículos exterior e interior, mover autos dentro del predio, trasladar autos de una oficina a otra.  ...","canelones","/anuncio/lavador-etptd",2019-07-31 02:44:42
"MEDIO OFICIAL MECÁNICO",NA,"Medio Oficial","Producción","Hace 2 semanas ","Mecánica general de automóviles Realizar trabajos de mecánica : service integral, mantenimiento, frenos, correas, etc. Experiencia laboral y referencias. ...","canelones","/anuncio/medio-oficial-mecanico-3v95z",2019-07-31 02:44:42
"VENDEDORA","Salud bienestar y calidad de vida ","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Se necesitan vendedoras comprometidas, con o sin experiencia. Con deseo de superarse tanto el lo laboral como personal Comprometido  Responsable Dinámico   ...","canelones","/anuncio/vendedora-36hah",2019-07-31 02:44:42
"ÁREA COMERCIAL","PROCAM","Analista","Seguridad - Vigilancia","Hace 2 semanas ","Análisis de prevención, proyección de trabajo. Especial participación y presentación de Licitaciones Públicas o Privadas. Valoración de riesgo. Llevar a ca ...","canelones","/anuncio/area-comercial-aq6hb",2019-07-31 02:44:42
