"empresa","area","n_puestos","jornada","detalles","subareas","requisitos","ID","fecha_pub","puesto","fecha_scraping","h_pub","dia_pub","barrio_ciudad","dpto"
"Advice","Administración / Instalación de Redes",NA,"Completa","Seleccionamos para importante organización.Estudiantes de grado en informática.Deberán poseer conocimientos en Administración UNIX-TCP/IP, Administración Windows/AD, Programación en Python, JavaScript y/o C#.Será necesario contar con un mínimo de un año de experiencia en cargos similares, preferentemente en entornos universitarios, así como experiencia en gestión de redes heterogéneas de mediano porte, manejo de servidores Linux, Windows Server y/o plataformas LAMP y asistencia en informática a usuarios en entorno corporativo.Brindará soporte de segundo nivel, será quien reciba solicitudes desde quienes realizan soporte de primer nivel y dirigirá los casos más complejos o que no le competan al de tercer nivel.Realizará el mantenimiento de la red local, despliegue de la intranet y operación del centro de datos.","Tecnologías de la Información / Administración / Instalación de Redes
										Tecnologías de la Información / Administración de Base de datos
										Tecnologías de la Información / Sistemas Operativos
								","
					
						
							
							
							Conocimientos: 
							
								Linux
										Sistema operativo Windows
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				","www.buscojobs.com.uy/administrador-de-sistemas-windows-yo-linux-ID-171507",2019-08-07,"Administrador de Sistemas Windows y/o Linux",2019-08-08 01:48:07,"19:48:07","miercoles","montevideo","montevideo"
"Nublit","Administración / Instalación de Redes",NA,"Completa","Buscamos incorporar a nuestro equipo de trabajo un profesional dinámico, proactivo, responsable y con muchas ganas de aprender nuevas tecnologías. Nos caracteriza una forma de trabajo ágil y colaborativa, en donde cada integrante del equipo desarrolla capacidades profesionales que lo impulsan a seguir creciendo. Es una gran oportunidad para incorporarse a una empresa innovadora, que invierte en capacitación y con un excelente ambiente laboral.Principales tareas:- Investigación y desarrollo- Administración en forma proactiva de sistemas de producción en la nube basados en Linux y Windows- Ejecución de cambios programados- Atención y resolución de incidentes- Monitoreo y respaldo de los ambientes- Implementación de medidas de seguridad y resguardo de la informaciónRequisitos excluyentes:- Experiencia en Linux- Conocimiento en redesValoramos:- Autonomía- Capacidad para trabajar en equipo- Manejo fluído de inglés- Experiencia en Ansible, AWS, Microsoft Azure, metodología DevOps y herramientas Opensource- Experiencia en bases de datos- Experiencia en Python","Tecnologías de la Información / Administración / Instalación de Redes
										Tecnologías de la Información / Sistemas Operativos
								","
					
						
							
							
							Conocimientos: 
							
								Administración de Redes
										Linux
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 18 Hasta 50 Años
						

						
					
					
				","www.buscojobs.com.uy/administrador-de-ti-ID-170830",2019-07-18,"Administrador de TI",2019-08-08 01:48:07,"01:48:07","jueves","montevideo","montevideo"
"(Confidencial)","Administración / Instalación de Redes",1,"Completa","Conocimientos: -	Experiencia en Linux verificable-	Experiencia en mantenimiento de servicios Linux (DNS, HTTP, SSH)-	Excelente manejo de ingles-	Zabbix, Puppet, GIT, Vagrant.Responsabilidades:-	Mantenimiento, implementación y soporte en la producción de sistemas y servicios-	Trabajar integrado con otras áreas-	Habilidades en manejo de proyectos-	Buen entendimiento en funciones de seguridad (firewalls, certificaciones)Se ofrece integrarse a una empresa internacional, con excelente ambiente laboral, y un salario acorde a las responsabilidades.","Tecnologías de la Información / Administración / Instalación de Redes
										Tecnologías de la Información / Análisis de Sistemas
										Tecnologías de la Información / Programación
										Tecnologías de la Información / Seguridad Informática
										Tecnologías de la Información / Desarrollo
								","
					
						
							
							
							Conocimientos: 
							
								DNS
										HTTP
										SSH Secure Shell
										Linux
								Idiomas: 
							
							Inglés
							Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 20 Hasta 35 Años
						

						
					
					
				","www.buscojobs.com.uy/administrador-linux-ID-171343",2019-08-03,"Administrador Linux",2019-08-08 01:48:07,"01:48:07","sabado","montevideo","montevideo"
"SONDA Uruguay","Análisis de Sistemas",1,"Completa","Estamos en la búsqueda de Ingeniero, Licenciado, Analista de Sistemas  (excluyente).       Profesional del Área de Tecnologías de la Información con probada experiencia y sólidos conocimientos técnicos.       Experiencia de al menos 5 años como administrador de las tecnologías mencionadas a continuación (se avalará con cartas de anteriores empleadores)     Los conocimientos para el cargo serán:     -Excelente capacidad en resolución de problemas.     -Experiencia comprobada en administración de VMWare, Sharepoint, Sistemas de Storage y Biztalk    -Realizar análisis de tendencias, de rendimiento y gestión de capacidad.     -Participar en la configuración e implementación de soluciones técnicas para mejorar y/o solucionar incidentes y problemas.     -Responsable de la documentación de apoyo.     Se valorará             -Inglés (no excluyente)     Certificaciones (excluyente):     - MCTS: Sharepoint Administrator 2010  o posterior o MCSE Sharepoint    - VMware Certified Professional 5 – Data Center Virtualization o VMware Certified Professional 6 – Data Center Virtualization","Tecnologías de la Información / Análisis de Sistemas
								","
					
						
							
							
							Conocimientos: 
							
								Tecnología e Innovación
								Estudio Mínimo Necesario: Terciario Completo
						

						
					
					
				","www.buscojobs.com.uy/administrador-senior-ID-170555",2019-07-09,"Administrador Senior",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
"Curbelo & Cianci Consultores","Administración de Empresas",NA,"Completa","La PersonaSeleccionamos a una persona con formación en administración de empresas (CCEE, UTU o similar) y experiencia en cargos similares.Requerimos buen dominio de herramientas informáticas, especialmente manejo de Excel.Procuramos persona responsable, dinámica, proactiva, con vocación de servicio y capacidad de aprendizaje.Responsabilidades:Facturación, confección de caja diaria, depósitos bancarios, envío de recibos a clientes, entrega de información al Estudio Contable, planillas de stock, planillas de honorarios de empleados. Seguimiento y solicitud de presupuestos de insumos generales, confección de informes varios.Suplencias y reemplazo en caja-mostrador.Zona: Punta GordaHorario: Lunes a viernes 11 a 19hs y sábados 11 a 15hs.","Administración – Secretariado / Administración de Empresas
										Administración – Secretariado / Auxiliar Administrativo
										Administración – Secretariado / Facturación / Cobros / Pagos
								","
					
						
							
							
							Conocimientos: 
							
								Caja y/o Facturación
										Administración
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				","www.buscojobs.com.uy/administrativa-ID-171505",2019-08-07,"Administrativa",2019-08-08 01:48:07,"18:48:07","miercoles","montevideo","montevideo"
"Consultora AEGIS","Administración de Empresas",1,"Completa","Orientamos la búsqueda hacia candidatos con marcadas habilidades de gestión, relacionamiento interpersonal, capacidad de comunicación y organización.PRINCIPALES DESAFÍOS:Analizar las ventas y generar reportes para la toma de decisiones.Realizar la planificación de las compras y coordinar las tareas de comercio exterior.Gestionar el mercadeo de productos.Analizar canales de venta y sus potencialidades.Colaborar con tareas de registros contables, conciliaciones, recuentos y cierres.REQUISITOS EXCLUYENTES:-Formación terciaria relacionada con el cargo: Comercio exterior, Administración, Contador Público, Marketing o similares.-Manejo de inglés avanzado.-Dominio de herramientas informáticas (especialmente Excel avanzado).-Experiencia en tareas similares (comercio exterior, planificación de demanda y compras).-Residir en Punta del Este o zonas cercanas.REQUISITOS VALORADOS:-Se valorará el manejo de Oracle, Gia y/o Kore y plataforma B2B.","Administración – Secretariado / Administración de Empresas
										Administración – Secretariado / Administración Contable y Financiera
										Administración – Secretariado / Gestión de Operaciones
										Comercio – Mercadeo – Ventas / Comercio Exterior/Aduanas
										Distribución – Logística – Almacenamiento / Compras / Proveedores
										Distribución – Logística – Almacenamiento / Distribución / Logística / Abastecimiento
								","
					
						
							
							
							Conocimientos: 
							
								Distribución, logística, depósito.
										Administración
										Comercio Internacional
								Idiomas: 
							
							Inglés
							Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 20 Hasta 40 Años
						

						
					
					
				","www.buscojobs.com.uy/administrativao-comercio-exterior-y-demand-planner-punta-del-este--ID-171478",2019-08-07,"Administrativa/o Comercio Exterior y Demand Planner -Punta del Este-",2019-08-08 01:48:07,"11:48:07","miercoles","maldonado","maldonado"
"(Confidencial)","Administración de Empresas",1,"Completa","Somos una empresa desarrolladora de software para el sector financiero. Contamos con un excelente equipo con altos niveles de compromiso con nuestros objetivos y un marcado foco hacia nuestros clientes. Nos caracteriza un excelente clima laboral, los vínculos interpersonales son muy positivos y los niveles de permanencia en la empresa son altos. El trabajo se desarrolla en equipo, en un ambiente dinámico y motivador.Nos encontramos en la búsqueda de una Recepcionista/Administrativa, para realizar una suplencia por licencia maternal.El perfil a seleccionar se debe caracterizar por:- Persona madura, con experiencia comprobable y con intachables referencias.Honesta y responsable.- Experiencia en cargos administrativos y/o secretariales.- Excelentes habilidades de comunicación, sea escrita u oral. Amabilidad, buen trato, respeto y seriedad.- Altos niveles de eficiencia, responsabilidad y orientación a resultados.- Facilidad para trabajar en varios temas en simultáneo.- Métodos efectivos para el registro de información diversa. Detallista.* El 90% del trabajo se realiza usando una computadora y manejando programas de la empresa, además de excel, outlook, etc.Fecha estimada de ingreso: Octubre 2019.Fecha estimada de finalización de la suplencia: abril 2020.Régimen de trabajo: de lunes a viernes, de 09:00 a 15:00 hrs con 30 minutos de descanso.El ingreso tendrá lugar tres meses antes de la posible fecha de comienzo de la licencia maternal, con el objetivo de capacitarse en el rol y comenzar a realizar las tareas con supervisión directa y apoyo constante.Entre las principales tareas a realizar se encuentran:- Recepción y derivación de llamadas.- Atención a clientes, vía telefónica, correo electrónico y presencial.- Gestión de compras de insumos para el funcionamiento diario de la oficina.- Relacionamiento con proveedores, para coordinaciones de entregas, pagos, recepción de facturas, prestaciones de servicios, etc.- Registro de gastos de la empresa en planillas.- Preparación de documentación para enviar al estudio contable.- Facturación, en contacto con clientes, registro y documentación.- Envío de incidencias de sueldos al estudio contable, preparación de archivos de pago, recibos de sueldos, resguardos, etc.- Conciliaciones bancarias.","Administración – Secretariado / Administración de Empresas
										Administración – Secretariado / Secretaría
								","
					
						
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
										Atención Telefónica y/o Recepción
										Caja y/o Facturación
										Gestión de Compras
										Atención al Cliente
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 35 Hasta 55 Años
									Sexo: Femenino
						

						
					
					
				","www.buscojobs.com.uy/administrativarecepcionista-para-suplencia-maternal-ID-171321",2019-08-06,"Administrativa/Recepcionista para Suplencia Maternal.",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
"(Confidencial)","Auxiliar Administrativo",NA,"Completa","Empresa del rubro Chacinería ubicada en La Paz Canelones selecciona Administrativo Contable.La búsqueda se orienta hacia una persona responsable, proactiva, metódica. Con experiencia en tareas administrativas contables, como ingreso de comprobantes, registraciones, conciliaciones, etc.Requisitos:- Formación en UTU ó Ciencias Económicas- Carné de salud vigente- Referencias comprobables","Administración – Secretariado / Auxiliar Administrativo
										Administración – Secretariado / Administración Contable y Financiera
								","
					
						
							
							
							Conocimientos: 
							
								Auxiliar Administrativo
										Auxiliar Contable
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				","www.buscojobs.com.uy/administrativo-contable-ID-171219",2019-07-31,"Administrativo Contable",2019-08-08 01:48:07,"01:48:07","miercoles","la paz","canelones"
"TASK","Administración Contable y Financiera",NA,"Completa","Seleccionamos para Importante Empresa Forestal en Tacuarembó:ADMINISTRATIVO CONTABLELa persona tendrá como responsabilidad el análisis y control de cuentas contables.  La preparación de informes. La colaboración con la elaboración del presupuesto anual y tareas administrativas varias.Se requieren estudios en Administración y/o Contador Público;  Conocimientos informáticos a nivel usuario y experiencia administrativa contable no menor a 3 años (excluyente). Será imprescindible estar radicado en Tacuarembó.Se trata de una gran oportunidad para insertarse en una Empresa de primer nivel, con posibilidades de desarrollo y una remuneración acorde a las responsabilidades.Enviar Curriculum Vitae indicando aspiraciones salariales.","Administración – Secretariado / Administración Contable y Financiera
								","
					
						
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
										Auxiliar Contable
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 30 Hasta 45 Años
						

						
					
					
				","www.buscojobs.com.uy/administrativo-contable-ID-171316",2019-08-02,"ADMINISTRATIVO CONTABLE",2019-08-08 01:48:07,"01:48:07","viernes","tacuarembo","tacuarembo"
"Adecco","Contaduría",NA,"Completa","Responsabilidades: •	Ingreso de facturas y relacionamiento con proveedores •	Soporte a empleados en rendición de gastos y facturación •	Responsable por la relación con proveedores de finanzas (factura electrónica, notaria, etc)•	Soporte administrativo en procesos bancarios •	Apoyo administrativo al equipo (gestión de firmas, documentos, etc)Requisitos: •	Formación estudiante avanzado de Facultad Ciencias económicas.•	Experiencia previa en tareas finanzas en general en empresas de mediano a gran porte •	Ingles avanzado•	Dominio de herramientas informáticas (Excel – Indispensable) •	Proactividad y nivel de experiencia que le permita desenvolverse de forma independiente. •	Capacidad de trabajo bajo presión. ¡TRANSFORMÁ TU TALENTO EN EXPERIENCIA! APOSTÁ AL CAMBIO, NOSOTROS APOSTAMOS POR VOS El compromiso de Adecco, es promover y mantener la cultura del respeto e igualdad de oportunidades. No discriminamos en función del género, religión, etnia, nacionalidad, cultura, grupo social, discapacidad o enfermedad, orientación sexual, estado civil, edad u opinión política. Cuando elegimos el personal para un cliente, la decisión se basa única y exclusivamente en los méritos y capacidades de esa persona.","Contabilidad – Auditoría – Finanzas / Contaduría
								","
					
						
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
								Estudio Mínimo Necesario: Terciario Completo
						

						
					
					
				","www.buscojobs.com.uy/administrativo-de-finanzas-ID-170843",2019-07-18,"Administrativo de Finanzas",2019-08-08 01:48:07,"01:48:07","jueves","montevideo","montevideo"
"(Confidencial)","Administración de Empresas",1,"Completa","La responsabilidad principal del cargo es la de realizar la liquidación mensual de haberes de la empresa, debiendo desarrollar todas labores necesarias que permitan el correcto desarrollo de las mismas, como lo son recopilar información, ingresarla al sistema, realizar tareas de control y la puesta en práctica de procesos de administración de personal tales como administración de nómina, licencias, ticket alimentación, beneficios especiales, quebrantos, viáticos y registros ante BPS, MTSS, DGI, entre otros.Tareas principales a desempeñar: ?	Liquidación de haberes?	Control y gestión administrativa de licencias?	Envío de nominas?	Administración de Legajos y convenios?	Pagos BPS, DGI, BSE, entre otrosRequisitos excluyentes:Conocimiento y dominio comprobable en sistema de liquidación GENTE de SAICO.Conocimiento de la normativa laboral vigenteSólidos conocimientos y experiencia comprobable en liquidación de sueldos Conocimiento y dominio de VENETUS.Otros requisitos:Bachillerato completoEstudios a nivel terciario en Relaciones Laborales u otros afines al cargoBuen manejo de herramientas informáticas (Excel avanzado)Experiencia de trabajo en empresas de mediano o gran porte dentro del área de Administración de personal.Conocimiento de liquidación de impuestos (CESS)Competencias requeridas:Proactividad Orientación al cliente internoHabilidad AnalíticaDinamismo y eficienciaTrabajo en EquipoTrabajo bajo presiónHabilidad de ComunicaciónLa jornada laboral podría ser de 6 horas.","Administración – Secretariado / Administración de Empresas
										Administración – Secretariado / Auxiliar Administrativo
										Administración – Secretariado / Administración Contable y Financiera
										Administración – Secretariado / Liquidación de Sueldos
										Contabilidad – Auditoría – Finanzas / Contaduría
										Recursos Humanos / Administración de Personal
								","
					
						
							
							
							Conocimientos: 
							
								Auxiliar Administrativo
										Liquidación de Sueldos
										Administración de Personal
										Administración salarios y documentación legal
										Recursos humanos
								Estudio Mínimo Necesario: Secundaria Completa
							Edad: Desde 25 Hasta 45 Años
						

						
					
					
				","www.buscojobs.com.uy/administrativo-de-liquidacion-de-sueldos-ID-170859",2019-07-19,"Administrativo de Liquidación de Sueldos",2019-08-08 01:48:07,"01:48:07","viernes","montevideo","montevideo"
"Randstad Uruguay ","Liquidación de Sueldos",1,"Completa","Para nuestro importante cliente seleccionamos: Administrativo de Personal y RRHH.Serán sus responsabilidades:1.       Tareas inherentes a personal: evaluaciones, altas, bajas, planillas licencia, control de uniformesMantener actualizados los perfiles de cargo así como las fichas y/o legajos del personal.Controlar vencimientos de carné de salud y otros.Realizar el contrato de trabajo al ingreso de cada funcionario.2.       Liquidar sueldos, jornales y toda partida de naturaleza salarial.Realizar liquidaciones de pago a Cooperativas (ANDA, FUCAC, CASH), retenciones judiciales, liquidaciones por egreso y licencias.Historia Laboral y posterior emisión de factura para el pago de BPS3.       Controlar los servicios tercerizados de personal.4.       Exportar de GIRH a GIA asiento mensual de sueldos y actualizar planilla de excedidos.Ingresar al sistema, asientos contables relacionados con haberes de personal.5.       Realizar trámites ante los Organismos de contralor: BPS, BSE, MTSS6.       Responsable frente a inspecciones de Organismos: MTSS, BPS, BSE.7.       Tareas administrativas varias.Requisitos excluyentes:Manejo de sistema GIRAH","Administración – Secretariado / Liquidación de Sueldos
										Recursos Humanos / Administración de Personal
								","
					
						
							
							
							Conocimientos: 
							
								Administración de Personal
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				","www.buscojobs.com.uy/administrativo-de-personal-y-rrhh-ID-171017",2019-07-24,"ADMINISTRATIVO DE PERSONAL y RRHH",2019-08-08 01:48:07,"01:48:07","miercoles","montevideo","montevideo"
