"empresa","area","n_puestos","jornada","detalles","subareas","requisitos","ID","fecha_pub","puesto","fecha_scraping","h_pub","dia_pub","barrio_ciudad","dpto"

"Friedman","Administración Contable y Financiera",1,"Completa","Cargo:Realizará las tareas vinculadas a la administración de la nómina propia y de las empresas que se administran.La actividad se desarrollará de Lunes a Viernes, entre las 9 y 18hs.Perfil:Buscamos Auxiliares Contables con formación y sólida experiencia en liquidación de haberes. Se requiere buen dominio de Office.Se ofrece:Estabilidad laboral y muy buen ambiente de trabajo.","Administración – Secretariado / Administración Contable y Financiera
","




Conocimientos: 

Liquidación de Sueldos
Microsoft Office
Auxiliar Contable
Estudio Mínimo Necesario: Terciario Completo
Edad: Desde 30 Hasta 55 Años





","www.buscojobs.com.uy/administrativa-para-liquidacion-de-haberes-ID-173800",2019-10-15,"ADMINISTRATIVA PARA LIQUIDACIÓN DE HABERES",2019-10-18 23:28:31,"23:28:31","martes","montevideo","montevideo"

"(Confidencial)","Administración de Empresas",1,"Completa","Budget ControlPayments to suppliers.Accounting recordsBank reconciliations.Support in the implementation of new software.Management reportsRequirements:Economics Sciences student, or Technical Administrative skills.  Accounting training.Minimum experience in similar positions: 2 yearsAdvanced Excel. Negotiation skills","Administración – Secretariado / Administración de Empresas
Administración – Secretariado / Auxiliar Administrativo
Administración – Secretariado / Facturación / Cobros / Pagos
Administración – Secretariado / Administración Contable y Financiera
Administración – Secretariado / Impuestos
Administración – Secretariado / Liquidación de Sueldos
Administración – Secretariado / Secretaría
Contabilidad – Auditoría – Finanzas / Auditoría
Contabilidad – Auditoría – Finanzas / Contaduría
Comercio – Mercadeo – Ventas / Análisis de Negocios
Comercio – Mercadeo – Ventas / Comercio Exterior/Aduanas
Comercio – Mercadeo – Ventas / Desarrollo de Negocios
Comercio – Mercadeo – Ventas / Venta Agroindustria
","




Conocimientos: 

Administración de Empresas
Definición de presupuestos y objetivos
Idiomas: 

Inglés
Portugués
Estudio Mínimo Necesario: Terciario Completo
Edad: Desde 25 Hasta 35 Años





","www.buscojobs.com.uy/administrative-assistant-ID-172911",2019-09-23,"Administrative Assistant",2019-10-18 23:28:31,"23:28:31","lunes","montevideo","montevideo"

"(Confidencial)","Auxiliar Administrativo",1,"Completa","Empresa de servicios selecciona Administrativo.Horario: lunes a viernes 7 a 16:15 hsTareas:.  Administración del servici.  Recepción de llamado.  Asignación de trabajos al personal operativ.  Armado de planillasRequisitos.  Secundaria complet.  Libreta AEl presente aviso de búsqueda alcanza a personas comprendidas dentro de la Ley 19.691.","Administración – Secretariado / Auxiliar Administrativo
Administración – Secretariado / Gestión de Operaciones
","




Conocimientos: 

Administración
Estudio Mínimo Necesario: Secundaria Incompleta
Edad: Desde 18 Hasta 70 Años
Sexo: Masculino





","www.buscojobs.com.uy/administrativo-ID-173184",2019-09-30,"Administrativo",2019-10-18 23:28:31,"23:28:31","lunes","montevideo","montevideo"

"Presidencia De La República - Agencia Para El Desarrollo Del Gobierno Electrónico Y La Soc","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Gestionar el proceso logístico y administrativo de pagos a proveedores y consultores, efectuar trámitesante Bancos y Organismos Públicos, manejar el inventario de proveeduría, entre otras.Lugar de Recepción de Consultas:fouru@undp.orgTeléfono de Consultas:xx","Cargos Estatales / Cargos Estatales
","









","www.buscojobs.com.uy/administrativo-ID-173542",2019-10-08,"['Administrativo ']",2019-10-18 23:28:31,"23:28:31","martes","montevideo","montevideo"

"(Confidencial)","Administración de Empresas",1,"Medio turno mañana","Descripción de la Empresa: Trading en desarrollo ubicada en Zonamerica.Objetivos generales del Puesto: Asistirá al responsable de ejecución con la preparación de documentación, seguimiento de embarques y control de las operaciones de trading. Manejará el sistema de reporte financiero y asistirá al Controller en el armado de Cash Flow, reportes, posición entre otras tareas de gestión Administrativa.Horario: PART TIME de Lunes a Viernes Remuneración: Enviar Aspiraciones SalarialesEstudios Requeridos: Estudiante avanzado o egresado reciente de las carreras de Contador Publico , Economía, Administración o afines.Idiomas: Inglés Avanzado, se valorará conocimiento de Portugués.Informatica : Excelente manejo de Excel. ","Administración – Secretariado / Administración de Empresas
Administración – Secretariado / Auxiliar Administrativo
Administración – Secretariado / Administración Contable y Financiera
Administración – Secretariado / Gestión de Operaciones
Contabilidad – Auditoría – Finanzas / Contaduría
Contabilidad – Auditoría – Finanzas / Economía
","




Conocimientos: 

Administración Contable y Financiera
Auxiliar Administrativo
Economía
Administración
Idiomas: 

Inglés
Portugués
Estudio Mínimo Necesario: Terciario Completo
Edad: Desde 23 Hasta 32 Años





","www.buscojobs.com.uy/administrativo-ID-173688",2019-10-14,"Administrativo",2019-10-18 23:28:31,"23:28:31","lunes","montevideo","montevideo"

"Advice","Análisis de Negocios",1,"Completa","Seleccionamos para empresa internacional en expansiónBuscamos:Se valorará formación universitaria en publicidad, marketing o administración.Conocimientos de herramientas Office, ADOBE e COREL, InDesign, Photoshop, Illustrator y/o Corel Draw.Se valorará conocimientos de idioma portugués e inglés básico.Personas con experiencia de al menos dos años en posiciones de similar responsabilidad.Conocimientos y/o experiencia en áreas de ventas y/o comercialDisponibilidad para viajar.Objetivos de la posición:Fortalecer la presencia de la compañía en el mercado de Latam, incrementado la participación en clientes actuales e incorporado nuevos clientes.Analizar constantemente el  entorno competitivo y los mercados potenciales, entendiendo las particularidades de cada sector/cliente para luego ofrecer un producto acorde a sus necesidades.Planificar y gestionar las ventas del mercado de Latam, estableciendo estrategias y planes de acción coordinados con la Gerencia de Ventas.Fortalecer el trabajo en equipo entre los diferentes sectores de la compañía, con el propósito de garantizar el cumplimiento de compromisos asumidos con los clientes.Establecer vínculos fuertes con las principales empresas de Latam, de modo de generar relaciones comerciales rentables de largo plazo.","Comercio – Mercadeo – Ventas / Análisis de Negocios
Comercio – Mercadeo – Ventas / Comercial / Ventas
Comercio – Mercadeo – Ventas / Desarrollo de Negocios
","




Conocimientos: 

Coordinación de fuerza de ventas
Estudio Mínimo Necesario: Terciario Incompleto
Edad: Desde 18 Hasta 70 Años





","www.buscojobs.com.uy/administrativo-comercial-ID-173910",2019-10-18,"Administrativo Comercial",2019-10-18 23:28:31,"11:28:31","viernes","montevideo","montevideo"

"(Confidencial)","Facturación / Cobros / Pagos",NA,"Completa","Empresa con màs de 50 años en el mercado se encuentra en la búsqueda de Administrativo/a con conocimientos contables y herramientas informáticas, especialmente Excel. Se busca persona dinámica, responsable, con gusto por la atención al publico, metódico ;Se valorará buena redacción y experiencia en conciliaciones bancarias, cheques, etc.","Administración – Secretariado / Facturación / Cobros / Pagos
Administración – Secretariado / Administración Contable y Financiera
Administración – Secretariado / Liquidación de Sueldos
","




Conocimientos: 

Administración Contable y Financiera
Auxiliar Administrativo
Liquidación de Sueldos
Liquidación de Impuestos
Administración
Microsoft Office
Auxiliar Contable
Estudio Mínimo Necesario: Terciario Incompleto
Edad: Desde 25 Hasta 45 Años





","www.buscojobs.com.uy/administrativo-contable-ID-173114",2019-09-26,"Administrativo Contable",2019-10-18 23:28:31,"23:28:31","jueves","montevideo","montevideo"

"(Confidencial)","Auxiliar Administrativo",1,"Completa","Buscamos estudiantes de CCEE, UTU o similar, para trabajar en el área de administración, registraciones contables, arqueos y conciliaciones.Preferentemente con buen manejo de Office, especialmente Excel y conocimientos de paquetes contables.Con disponibilidad para viajar al interior del país en casos puntuales.Horario: lunes a viernes de 9 a 18 hs..","Administración – Secretariado / Auxiliar Administrativo
Administración – Secretariado / Administración Contable y Financiera
","




Conocimientos: 

Auxiliar Contable
Estudio Mínimo Necesario: Terciario Incompleto
Edad: Desde 18 Hasta 70 Años





","www.buscojobs.com.uy/administrativo-contable-ID-173492",2019-10-08,"Administrativo Contable",2019-10-18 23:28:31,"23:28:31","martes","montevideo","montevideo"

"(Confidencial)","Auxiliar Administrativo",NA,"Medio turno tarde","Seleccionamos auxiliar administrativo PART TIME para inmobiliaria. Orientamos la búsqueda a estudiantes de administración de empresas con  perfil comercial Valoraremos experiencia en rubro inmobiliario y que posea conocimientos sobre tributos, tarifa de saneamiento, gastos comunes, entre otros.Requerimos persona meticulosa, responsable y proactiva.Dentro de las responsabilidades del cargo se encuentran:Responder consultas y buscar soluciones a los casos planteados.Mantener los diferentes portales web actualizados.Confeccionar contratos de arrendamiento.Soporte telefónico de clientes compradores en temas administrativos y de posventaManejo de la casilla de mail y de whatsapp con reclamos y consultasBrindar información y responder consultas vía web y telefónicas sobre propiedades en venta y en alquiler Horario: Lunes a Viernes de 14:30 a 18:30","Administración – Secretariado / Auxiliar Administrativo
","




Conocimientos: 

Administración
Microsoft Office
Estudio Mínimo Necesario: Terciario Incompleto
Edad: Desde 18 Hasta 25 Años
Sexo: Masculino





","www.buscojobs.com.uy/administrativo-en-inmobiliaria-part-time-ID-173066",2019-09-25,"Administrativo en Inmobiliaria Part Time",2019-10-18 23:28:31,"23:28:31","miercoles","montevideo","montevideo"

"(Confidencial)","Auxiliar Administrativo",NA,"Completa","Emprendimiento de Servicios de Salud selecciona AdministrativoRégimen de trabajo: 35 horas semanales (lunes a viernes)Remuneración: $ 33.630 nominalesRequisitos excluyentes:Edad entre 21 y 45 añosBachillerato aprobado (Secundaria o similar de UTU)Manejo de herramientas informáticas (Office)Residir en Canelones o zonas aledañasSe valorará:Formación Administrativ. ContableExperiencia en tareas administrativasPlazo de recepción de solicitudes: 24/10/2019","Administración – Secretariado / Auxiliar Administrativo
Administración – Secretariado / Administración Contable y Financiera
Administración – Secretariado / Secretaría
","




Conocimientos: 

Administración Contable y Financiera
Auxiliar Administrativo
Administración
Microsoft Office
Estudio Mínimo Necesario: Secundaria Completa
Edad: Desde 21 Hasta 45 Años





","www.buscojobs.com.uy/administrativo-para-emprendimiento-de-servicios-de-salud-ID-173674",2019-10-11,"Administrativo para Emprendimiento de Servicios de Salud",2019-10-18 23:28:31,"23:28:31","viernes","canelones","canelones"
